,Term,ID,Definition,Synonyms,HPO_ID
8363,Obstructive azoospermia,0011962,"Absence of any measurable level of sperm in his semen, resulting from post-testicular obstruction or retrograde ejaculation. This can be differentiated from obstructive azoospermia on the basis of testicular biopsy.",,HP:0011962
8364,Pretesticular azoospermia,0011963,"Absence of any measurable level of sperm in his semen, due to a hypothalamic or pituitary abnormality diagnosed with hypo-gonadotropic-hypogonadism. The diagnosis is made on the basis of low LH and FSH levels and low or normal testosterone levels.",,HP:0011963
8365,Intermittent painful muscle spasms,0011964,History of repeated intermittent involuntary muscle contractions that were painful.,,HP:0011964
8366,Abnormal circulating citrulline concentration,0011965,Any deviation from the normal concentration of citrulline in the blood circulation.,,HP:0011965
8367,Elevated plasma citrulline,0011966,An increased concentration of citrulline in the blood.,,HP:0011966
8368,Decreased circulating copper concentration,0011967,A reduced concentration of copper in the blood.,"Copper deficiency, Hypocupremia, Reduced serum copper",HP:0011967
8369,Feeding difficulties,0011968,"Impaired ability to eat related to problems gathering food and getting ready to suck, chew, or swallow it.","Feeding difficulties, Feeding problems, Poor feeding",HP:0011968
8370,Elevated circulating luteinizing hormone level,0011969,An elevated concentration of luteinizing hormone in the blood.,"Elevated LH level, Elevated luteinizing hormone, Increased circulating luteinizing hormone level",HP:0011969
8371,Cerebral amyloid angiopathy,0011970,"Amyloid deposition in the walls of leptomeningeal and cortical arteries, arterioles, and less often capillaries and veins of the central nervous system.",,HP:0011970
8372,Dermatographic urticaria,0011971,"An exaggerated whealing tendency when the skin is stroked, that is, formation of red, itchy bumps and lines on the skin as a result of pressure on the skin (for instance, stroking the skin with a pen or tongue depressor).","Dermatographism, Dermographism, Skin writing",HP:0011971
8373,Hypoglycorrhachia,0011972,Abnormally low glucose concentration in the cerebrospinal fluid.,"Decreased CSF glucose, Low glucose levels in cerebral spinal fluid",HP:0011972
8374,Paroxysmal lethargy,0011973,Repeated episodes of sudden-onset and transient lethargy.,,HP:0011973
8375,Myelofibrosis,0011974,Replacement of bone marrow by fibrous tissue.,,HP:0011974
8376,Aminoglycoside-induced hearing loss,0011975,Partial or complete loss of hearing following ingestion of aminoglycoside antibiotics.,,HP:0011975
8377,Elevated urinary catecholamines,0011976,An increased concentration of catecholamine in the urine.,Elevated urinary catecholamines,HP:0011976
8378,Elevated urinary homovanillic acid,0011977,An increased concentration of homovanillic acid in the urine.,,HP:0011977
8379,Elevated urinary vanillylmandelic acid,0011978,An increased concentration of vanillylmandelic acid in the urine.,,HP:0011978
8380,Elevated urinary dopamine,0011979,An increased concentration of dopamine in the urine.,Elevated urinary dopamine,HP:0011979
8381,Cholesterol gallstones,0011980,"Gallstones composed primarily of cholesterol, usually about 2-3 cm in length with an oval form and a yellow or green/brown color.",,HP:0011980
8382,Pigment gallstones,0011981,Gallstones composed primarily of bilirubin and calcium salts (calcium bilirubinate) with a low cholesterol concentration.,,HP:0011981
8383,Black pigment gallstones,0011982,"A type of pigment gallstone that is hard and black, containing calcium carbonate and calcium phosphates.",,HP:0011982
8384,Brown pigment gallstones,0011983,"A type of pigment gallstone that is brown, containing calcium fatty acids. These stones are softer than black pigment gallstones.",,HP:0011983
8385,Atretic gallbladder,0011984,"Failure of formation of the lumen of the gallbladder, often associated with gallbladder hypoplasia.",Gallbladder atresia,HP:0011984
8386,Acholic stools,0011985,Clay colored stools lacking bile pigment.,"Acholia, Clay colored stools, Clay coloured stools, Discolored, acholic stools",HP:0011985
8387,Ectopic ossification,0011986,"Formation of abnormal, extraskeletal bony tissue, i.e., the presence of bone in soft tissue where bone normally does not exist.","Ectopic bone formation, Heterotopic ossification",HP:0011986
8388,Ectopic ossification in muscle tissue,0011987,Formation of abnormal bony tissue within muscle tissue.,Calcification of muscle tissue,HP:0011987
8389,Ectopic ossification in tendon tissue,0011988,Formation of abnormal bony tissue within tendon tissue.,,HP:0011988
8390,Ectopic ossification in ligament tissue,0011989,Formation of abnormal bony tissue within ligament tissue.,,HP:0011989
8391,Abnormality of neutrophil physiology,0011990,A functional abnormality of neutrophils.,,HP:0011990
8392,Abnormal neutrophil count,0011991,A deviation from the normal range of neutrophil cell counts in the circulation.,Abnormal neutrophil cell number,HP:0011991
8393,Abnormality of neutrophil morphology,0011992,An abnormal form or size of neutrophils.,,HP:0011992
8394,Impaired neutrophil bactericidal activity,0011993,A reduction in the ability of neutrophils to kill bacteria.,,HP:0011993
8395,Abnormal atrial septum morphology,0011994,An abnormality of the interatrial septum.,"Abnormal interatrial septum morphology, Abnormality of the atrial septum",HP:0011994
8396,Atrial septal dilatation,0011995,"A bulging of the interatrial septum towards one side. In adults, atrial septal aneurysm can be defined as a protrusion of the aneurysm of >10 mm beyond the plane of the atrial septum as measured by transesophageal echocardiography.",,HP:0011995
8397,Elevated coagulation factor V activity,0011996,"Increased activity of coagulation factor V, Factor V, which is activated to factor Va by means of minute amounts of thrombin (and inactivated by larger amounts of thrombin). Activated factor V (fVa) is a cofactor in the formation of the prothrombinase complex.","Elevated factor V activity, Plasma factor V elevated",HP:0011996
8398,Postprandial hyperlactemia,0011997,Abnormally increased level of blood lactate following a meal.,,HP:0011997
8399,Postprandial hyperglycemia,0011998,An increased concentration of glucose in the blood following a meal.,,HP:0011998
8400,Paranoia,0011999,A persecutory delusion of supposed hostility of others.,Paranoia,HP:0011999
8401,EEG with generalized spikes,0012000,EEG with generalized sharp transient waves of a duration less than 80 msec.,EEG with generalised spikes,HP:0012000
8402,EEG with generalized polyspikes,0012001,EEG with repetitive generalized sharp transient waves of a duration less than 80 msec.,EEG with generalised polyspikes,HP:0012001
8403,Experiential epileptic aura,0012002,"Affective, mnemonic or composite perceptual auras with subjective qualities similar to those experienced in life but are recognized by the subject as occurring outside of actual context.","Experiential aura, Experiential auras",HP:0012002
8404,Affective epileptic aura,0012003,Affective auras with subjective qualities similar to those experienced in life but are recognized by the subject as occurring outside of actual context.,"Affective aura, Affective auras, Emotional aura",HP:0012003
8405,Focal cognitive seizure with deja vu/jamais vu,0012004,A focal cognitive seizure characterized by memory phenomena such as feelings of familiarity (deja vu) and unfamiliarity (jamais vu) as the initial semiological manifestation.,"Mnemonic aura, Mnemonic auras",HP:0012004
8406,Deja vu aura,0012005,A subjective feeling that an experience which is occurring for the first time has been experienced before.,Deja vu,HP:0012005
8407,Jamais vu aura,0012006,A subjective feeling that an experience which has occurred before is being experienced for the first time.,Jamais vu,HP:0012006
8408,Focal cognitive seizure with hallucination,0012007,A focal cognitive seizure characterized by hallucination as the initial semiological manifestation.,"Hallucinatory aura, Hallucinatory auras",HP:0012007
8409,Focal cognitive seizure with illusion,0012008,"A focal cognitive seizure characterized by an alteration of actual perception involving visual, auditory, somatosensory, olfactory, and/or gustatory phenomena as the initial semiological manifestation.","Illusory aura, Illusory auras",HP:0012008
8410,EEG with central focal spike waves,0012009,"EEG with focal sharp transient waves in the central region, i.e., focal sharp waves of a duration less than 80 msec followed by a slow wave.",,HP:0012009
8411,EEG with frontal focal spike waves,0012010,"EEG with focal sharp transient waves in the frontal region, i.e., focal sharp waves of a duration less than 80 msec followed by a slow wave.",,HP:0012010
8412,EEG with occipital focal spike waves,0012011,"EEG with focal sharp transient waves in the occipital region, i.e., focal sharp waves of a duration less than 80 msec followed by a slow wave.",,HP:0012011
8413,EEG with parietal focal spike waves,0012012,"EEG with focal sharp transient waves in the parietal region, i.e., focal sharp waves of a duration less than 80 msec followed by a slow wave.",,HP:0012012
8414,EEG with temporal focal spike waves,0012013,"EEG with focal sharp transient waves in the temporal region, i.e., focal sharp waves of a duration less than 80 msec followed by a slow wave.",,HP:0012013
8415,EEG with central focal spikes,0012014,EEG with focal sharp transient waves of a duration less than 80 msec in the central region.,,HP:0012014
8416,EEG with frontal focal spikes,0012015,EEG with focal sharp transient waves of a duration less than 80 msec in the frontal region.,,HP:0012015
8417,EEG with occipital focal spikes,0012016,EEG with focal sharp transient waves of a duration less than 80 msec in the occipital region.,,HP:0012016
8418,EEG with parietal focal spikes,0012017,EEG with focal sharp transient waves of a duration less than 80 msec in the parietal region.,,HP:0012017
8419,EEG with temporal focal spikes,0012018,EEG with focal sharp transient waves of a duration less than 80 msec in the temporal region.,,HP:0012018
8420,Lens luxation,0012019,Complete dislocation of the lens of the eye.,"Dislocated lens, Dislocated lenses",HP:0012019
8421,Right aortic arch,0012020,Aorta descends on right instead of on the left.,Right-sided aortic arch,HP:0012020
8422,Persistent patent ductus venosus,0012021,Persistence of blood flow through the ductus venosus for longer than the normal time after birth.,,HP:0012021
8423,Congenital portosystemic venous shunt,0012022,"A congenital defect of the vasculature such that there is a shunt (by-pass) of blood directly from the portal vein to the vena cava (i.e., the blood from the portal vein is not filtered through the liver).",,HP:0012022
8424,Galactosuria,0012023,Elevated concentration of galactose in the urine.,Increased urinary galactose level,HP:0012023
8425,Hypergalactosemia,0012024,Elevated concentration of galactose in the blood.,,HP:0012024
8426,Abnormal circulating ornithine concentration,0012025,Deviation from the normal concentration of ornithine in the blood circulation.,,HP:0012025
8427,Hyperornithinemia,0012026,Increased concentration of ornithine in the blood.,High blood ornithine levels,HP:0012026
8428,Laryngeal edema,0012027,An abnormal accumulation of fluid and swelling in the tissues of the larynx.,Laryngeal oedema,HP:0012027
8429,Hepatocellular adenoma,0012028,A benign tumor of the liver of presumably epithelial origin.,"Hepatic adenoma, Liver cell adenoma",HP:0012028
8430,Abnormal urine hormone level,0012029,An abnormal concentration of a hormone in the urine.,Abnormality of urine hormone level,HP:0012029
8431,Increased urinary cortisol level,0012030,Abnormally increased concentration of cortisol in the urine.,High urine cortisol level,HP:0012030
8432,Lipomatous tumor,0012031,,Lipomatous tumour,HP:0012031
8433,Lipoma,0012032,Benign neoplasia derived from lipoblasts or lipocytes of white or brown fat. May be angiomatous or hibernomatous.,"Fatty lump, Noncancerous fatty lump",HP:0012032
8434,Sacral lipoma,0012033,Presence of a lipoma in the region of the sacrum.,,HP:0012033
8435,Liposarcoma,0012034,Malignant neoplasms which probably originate in primitive mesenchymal stem cell populations differentiating down a lipomatous pathway.,,HP:0012034
8436,Steatocystoma multiplex,0012035,"Multiple, localized or widespread, asymptomatic or inflammatory dermal cysts involving the pilosebaceous units. Lesions can appear anywhere on the body, but steatocystoma multiplex is more commonly involved with those areas of the skin with a high density of developed pilosebaceous units (e.g., the axilla, groin, neck, and proximal extremities).",,HP:0012035
8437,Sternocleidomastoid amyotrophy,0012036,"Wasting of the sternocleidomastoid muscle, the muscle in the anterior part of the neck that acts to flex and rotate the head.",,HP:0012036
8438,Pectoralis amyotrophy,0012037,"Wasting of the pectoral muscles, i.e., of the pectoralis major and pectoralis minor.",Wasting of pec muscles,HP:0012037
8439,Corneal guttata,0012038,Corneal guttata are droplet-like accumulations of non-banded collagen on the posterior surface of Descemet's membrane. The presence of focal thickenings of Descemet's membrane histologically named guttae. Cornea guttata can be easily diagnosed in vivo and ex vivo by means of specular microscopy as it gives dark areas where no endothelial cells are visible.,Corneal endothelial guttata,HP:0012038
8440,Descemet Membrane Folds,0012039,"Presence of folds in the Descemet membrane, which is the basement membrane of the endothelial (inner) cell layer of the cornea. Descemet membrane folds are generally a manifestation of inflammation or edema of the cornea.",,HP:0012039
8441,Corneal stromal edema,0012040,Abnormal accumulation of fluid and swelling of the stroma of cornea.,Corneal stromal oedema,HP:0012040
8442,Decreased fertility in males,0012041,,Decreased fertility in males,HP:0012041
8443,Aspirin-induced asthma,0012042,A type of asthma in which aspirin and other nonsteroidal anti-inflammatory drugs (NSAIDs) that inhibit cyclooxygen-ase 1 (COX-1) exacerbate bronchoconstriction.,Aspirin-induced asthma,HP:0012042
8444,Pendular nystagmus,0012043,"Rhythmic, involuntary sinusoidal oscillations of one or both eyes. The waveform of pendular nystagmus may occur in any direction.",,HP:0012043
8445,Seesaw nystagmus,0012044,"Seesaw nystagmus is a type of pendular nystagmus where a half cycle consists of the elevation and intorsion of one eye, concurrently with the depression and extortion of the fellow eye. In the other half cycle, there is an inversion of the ocular movements.",,HP:0012044
8446,Retinal flecks,0012045,Presence of multiple yellowish-white lesions of various size and configuration on the retina not related to vascular lesions.,,HP:0012045
8447,Areflexia of upper limbs,0012046,Inability to elicit tendon reflexes in the upper limbs.,,HP:0012046
8448,Hemeralopia,0012047,A visual defect characterized by the inability to see as clearly in bright light as in dim light. The word hemeralopia literally means day blindness.,Day blindness,HP:0012047
8449,Oromandibular dystonia,0012048,"A kind of focal dystonia characterized by forceful contractions of the face, jaw, and/or tongue causing difficulty in opening and closing the mouth and often affecting chewing and speech.",Cranial dystonia,HP:0012048
8450,Laryngeal dystonia,0012049,"A form of focal dystonia that affects the vocal cords, associated with involuntary contractions of the vocal cords causing interruptions of speech and affecting the voice quality and often leading to patterned, repeated breaks in speech.",Spasmodic dysphonia,HP:0012049
8451,Anasarca,0012050,An extreme form of generalized edema with widespread and massive edema due to effusion of fluid into the extracellular space.,"Extreme generalised oedema, Extreme generalized edema",HP:0012050
8452,Reactive hypoglycemia,0012051,"Hypoglycermia following a meal (or more generally, after intake of glucose).","Low blood sugar after a meal, Postprandial hypoglycemia",HP:0012051
8453,Low serum calcitriol,0012052,"A reduced concentration of calcitriol in the blood. Calcitriol is also known as 1,25-dihydroxycholecalciferol or 1,25-dihydroxyvitamin D3.","Low serum 1,25-dihydroxycholecalciferol, Low serum 1,25-dihydroxyvitamin D3",HP:0012052
8454,Decreased circulating calcifediol concentration,0012053,"A reduced concentration of calcifediol in the blood. Calcifediol is also known as calcidiol, 25-hydroxycholecalciferol and 25-Hydroxyvitamin D3.","Decreased 25-hydroxyvitamin D3, Low serum 25-hydroxycholecalciferol, Low serum calcidiol, Low serum calcifediol",HP:0012053
8455,Choroidal melanoma,0012054,"Malignant tumor of melanocytes of the choroid. The classic appearance of choroidal melanoma is a pigmented dome-shaped or collar button-shaped tumor with an associated exudative retinal detachment. Choroidal melanoma is usually pigmented, but can be variably pigmented and even amelanotic (non-pigmented).",,HP:0012054
8456,Ciliary body melanoma,0012055,Malignant tumor of melanocytes of the ciliary body.,,HP:0012055
8457,Cutaneous melanoma,0012056,The presence of a melanoma of the skin.,,HP:0012056
8458,Superficial spreading melanoma,0012057,"A type of melanoma that is flat and irregular in shape and color, with different shades of black and brown.",,HP:0012057
8459,Nodular melanoma,0012058,A type of melanoma that starts as a raised area that is usually dark blackish-blue or bluish-red but may not have any color.,,HP:0012058
8460,Lentigo maligna melanoma,0012059,"A subtype of melanoma in situ that typically develops on sun-damaged skin. The lesion is typically a large, irregularly pigmented macule that has developed from an ordinary lentigo (a small pigmented spot on the skin with a clearly-defined edge). Change to a malignant lentigo typically takes place over 20 years or more, and many patients accept the change as a consequence of aging.",,HP:0012059
8461,Acral lentiginous melanoma,0012060,"A type of cutaneous melanoma localized to the palm, sole, or beneath the nail (subungual melanoma). Acral lentiginous melanoma starts as a slowly-enlarging flat patch of discoloured skin and usually displays a size above 6 mm and often several centimetres or more in diameter upon diagnosis and variable pigmentation with a mixutre of colors including brown, and blue-grey, black and red. The surface of the lesion is initially smooth but later in the course may become thicker and irregular, and may ulcerate or bleed.",,HP:0012060
8462,Urinary excretion of sialylated oligosaccharides,0012061,Excretion of oligosaccharides conjugated to sialic acid in the urine.,Increased urinary sialyloligosaccharides,HP:0012061
8463,Bone cyst,0012062,A fluid filled cavity that develops with a bone.,"Bone cyst, Bone cysts",HP:0012062
8464,Aneurysmal bone cyst,0012063,"Radiographic features include a dilated, radiolucent lesion typically located eccentrically within the metaphyseal portion of the bone, with fluid levels visible on magnetic resonance imaging.",,HP:0012063
8465,Unicameral bone cyst,0012064,A benign fluid filled simple cyst of bone filled with serous fluid.,,HP:0012064
8466,Multiple bony cystic lesions,0012065,Presence of multiple cystic changes in multiple areas or multiple bones.,Multiple bony cystic lesions,HP:0012065
8467,Increased urinary disaccharide excretion,0012066,Increased concentration of disaccharide in the urine.,,HP:0012066
8468,Glycopeptiduria,0012067,Increased excretion of glycopeptides in the urine. Glycopeptides are peptides with carbohydrate moieties covalently attached to the side chains of the amino acid residues.,High urine glycopeptide levels,HP:0012067
8469,Aspartylglucosaminuria,0012068,Excretion of excess amounts of aspartylglucosamine in the urine.,High urine aspartylglucosamine levels,HP:0012068
8470,Keratan sulfate excretion in urine,0012069,An increased concentration of keratan sulfate in the urine.,Keratan sulphate excretion in urine,HP:0012069
8471,Chondroitin sulfate excretion in urine,0012070,An increased concentration of chondroitin sulfate (CHEBI:37397) in the urine.,Chondroitin sulphate excretion in urine,HP:0012070
8472,Abnormal circulating acetylcarnitine concentration,0012071,"Any deviation from the normal concentration in the blood circulation of acylcarnitine, which is produced by reversible esterification of the 3-hydroxyl group of carnitine.",Abnormal circulating esterified carnitine concentration,HP:0012071
8473,Aciduria,0012072,"Excretion of urine with an acid pH, i.e., having an increased hydrogen ion concentration.",Acidic urine,HP:0012072
8474,Abnormal urinary acylglycine profile,0012073,"An abnormal distribution of N-acylglycines in the urine. There are numerous different N-acylglycines, and this term refers to pathological alterations in their level or distribution.",,HP:0012073
8475,Tonic pupil,0012074,"An abnormality of the pupillary light reaction characterized by a marked slowing of the light reaction of usually just one pupil. The pupil tends to be relatively dilated, and there is reduced accommodation.","Adie pupil, Adie's tonic pupil",HP:0012074
8476,Personality disorder,0012075,An abnormality of mental functioning affecting the personality and behavioural tendencies of an individual and characterized by a rigid and unhealthy pattern of thinking and behavior. The definition of a personal disorder implies that the abnormality is not the result of damage or insult to the brain or from another psychiatric disorder.,,HP:0012075
8477,Borderline personality disorder,0012076,A personality disorder characterized by impulsive behavior and unpredictable and capricious mood. Affected individuals show a liability to outbursts of emotion and an incapacity to control the behavioural explosions.,BPD,HP:0012076
8478,Histrionic personality disorder,0012077,"A personality disorder characterized by shallow and labile affectivity, self-dramatization, theatricality, exaggerated expression of emotions, suggestibility, egocentricity, self-indulgence, lack of consideration for others, easily hurt feelings, and continuous seeking for appreciation, excitement and attention.",,HP:0012077
8479,Motor conduction block,0012078,Blockade of impulses at a focal site along the course of a motor axon.,,HP:0012078
8480,Abnormality of central motor conduction,0012079,Any anomaly of the conduction of motor nerve impulses in the central nervous system.,,HP:0012079
8481,Cerebellar granular layer atrophy,0012080,Atrophy of the cerebellum affecting primarily the granular cell layer.,,HP:0012080
8482,Enlarged cerebellum,0012081,An abnormally increased size of the cerebellum compared to other brain structures.,,HP:0012081
8483,Cerebellar Purkinje layer atrophy,0012082,Atrophy of the cerebellum affecting primarily the Purkinje cell layer.,,HP:0012082
8484,Ubiquitin-positive cerebral inclusion bodies,0012083,Nuclear or cytoplasmic aggregates that show positive staining with antibodies against ubiquitin within cells of the brain.,,HP:0012083
8485,Abnormality of skeletal muscle fiber size,0012084,Any abnormality of the size of the skeletal muscle cell.,Abnormality of skeletal muscle fibre size,HP:0012084
8486,Pyuria,0012085,"The presence of 10 or more white cells per cubic millimeter in a urine specimen, 3 or more white cells per high-power field of unspun urine, a positive result on Gram staining of an unspun urine specimen, or a urinary dipstick test that is positive for leukocyte esterase.",High urine neutrophil count,HP:0012085
8487,Abnormal urinary color,0012086,"An abnormal color of the urine, that is, the color of the urine appears different from the usual straw-yellow color.","Abnormal urinary color, Abnormal urinary colour, Abnormal urine color, Abnormal urine colour",HP:0012086
8488,Abnormal mitochondrial shape,0012087,An anomaly in the surface contour of mitochondria.,,HP:0012087
8489,Abnormal urinary odor,0012088,A deviation from the normal odor of the urine.,"Abnormal urinary odor, Abnormal urinary odour, Abnormal urine smell",HP:0012088
8490,Arteritis,0012089,Arterial inflammation.,Inflammation of artery,HP:0012089
8491,Abnormal pancreas morphology,0012090,,"Abnormality of pancreas morphology, Abnormally shaped pancreas",HP:0012090
8492,Abnormality of pancreas physiology,0012091,An anomaly of the function of the pancreas.,,HP:0012091
8493,Abnormality of exocrine pancreas physiology,0012092,A functional anomaly of the acinar gland portion of the pancreas that secretes digestive enzymes.,Abnormal exocrine pancreatic function,HP:0012092
8494,Abnormality of endocrine pancreas physiology,0012093,A function abnormality of the endocrine pancreas.,,HP:0012093
8495,Abnormal pancreas size,0012094,A deviation from the normal size of the pancreas.,Abnormal pancreas size,HP:0012094
8496,Multiple joint dislocation,0012095,Dislocation of many joints.,,HP:0012095
8497,Intracranial epidermoid cyst,0012096,A congenital inclusion cysts that arises from ectodermal cells that normally form skin cells being left behind in the nervous system during development.,,HP:0012096
8498,Intracranial dermoid cyst,0012097,"A congenital inclusion cysts that arises from the inclusion of ectodermally committed cells at the time of neural tube closure (3rd-5th week of embryogenesis). The capsule of dermoid cysts consists of simple epithelium supported by collagen. In thicker parts, the lining is supplemented with dermis containing hair follicles, sebaceous glands, and apocrine glands.",,HP:0012097
8499,Edema of the dorsum of feet,0012098,An abnormal accumulation of fluid beneath the skin on the back of the feet.,"Edema of dorsum of feet, Oedema of dorsum of feet, Oedema of the dorsum of feet",HP:0012098
8500,Abnormality of circulating catecholamine level,0012099,An abnormal catecholamine concentration in the blood.,Catecholamine levels abnormal,HP:0012099
8501,Abnormal circulating creatinine concentration,0012100,An abnormal concentration of creatinine in the blood.,"Abnormal blood creatinine level, Abnormal circulating creatinine level, Creatinine levels abnormal",HP:0012100
8502,Decreased serum creatinine,0012101,An abnormally reduced amount of creatinine in the blood.,"Decreased serum creatinine, Low blood creatinine level, Reduced creatinine levels",HP:0012101
8503,Abnormal mitochondrial number,0012102,A deviation from the normal number of mitochondria per cell.,,HP:0012102
8504,Abnormality of the mitochondrion,0012103,"An anomaly of the mitochondrion, the membranous cytoplasmic organelle the interior of which is subdivided by cristae. The mitochondrion is a self replicating organelle that is the site of tissue respiration.",,HP:0012103
8505,Parietal cortical atrophy,0012104,Atrophy of the parietal cortex.,,HP:0012104
8506,Occipital cortical atrophy,0012105,Atrophy of the occipital cortex.,,HP:0012105
8507,Rhizomelic leg shortening,0012106,Disproportionate shortening of the proximal segment of the leg (i.e. the femur).,,HP:0012106
8508,Increased fibular diameter,0012107,Increased width of the cross sectional diameter of the fibula.,"Thick fibula, Thick fibulae, Wide calf bone, Wide fibula",HP:0012107
8509,Open angle glaucoma,0012108,"A type of glaucoma defined by an open, normal appearing anterior chamber angle and raised intraocular pressure,",,HP:0012108
8510,Angle closure glaucoma,0012109,A type of glaucomatous optic neuropathy in an eye that has evidence of angle closure (i.e. significant iridotrabecular contact).,,HP:0012109
8511,Hypoplasia of the pons,0012110,Underdevelopment of the pons.,Pontine hypoplasia,HP:0012110
8512,Abnormality of circulating glucocorticoid level,0012111,An abnormality of the concentration of a glucocorticoid in the blood.,,HP:0012111
8513,Abnormal circulating corticosterone level,0012112,An abnormality of the concentration of corticosterone in the blood.,Abnormality of circulating corticosterone level,HP:0012112
8514,Abnormal circulating creatine concentration,0012113,"A deviation from the normal concentration of creatine in the blood circulation. Creatine is a derivative of glycine having methyl and amidino groups attached to the nitrogen. Creatine is naturally produced from amino acids, primarily in liver and kidney, and acts as an energy source for cells, primarly for muscle cells.",Abnormality of creatine metabolism,HP:0012113
8515,Endometrial carcinoma,0012114,"A carcinoma of the endometrium, the mucous lining of the uterus.",,HP:0012114
8516,Hepatitis,0012115,Inflammation of the liver.,Liver inflammation,HP:0012115
8517,Abnormal circulating albumin concentration,0012116,Deviation from normal concentration of albumin in the blood.,Abnormal albumin level,HP:0012116
8518,Hyperalbuminemia,0012117,Elevation in the concentration of albumin in the blood.,"High blood albumin levels, Hyperalbuminaemia",HP:0012117
8519,Laryngeal carcinoma,0012118,A carcinoma of the larynx.,"Cancer of the larynx, Laryngeal cancer",HP:0012118
8520,Methemoglobinemia,0012119,"Abnormally increased levels of methemoglobin in the blood. In this form of hemoglobin, there is an oxidized ferric iron (Fe +3) rather than the reduced ferrous form (Fe 2+) that is normally found in hemoglobin. Methemoglobin has a reduced affinity for oxygen, resulting in a reduced ability to release oxygen to tissues.",,HP:0012119
8521,Methylmalonic aciduria,0012120,Increased concentration of methylmalonic acid in the urine.,"High blood methylmalonic acid levels, Methymalonicaciduria",HP:0012120
8522,Panuveitis,0012121,"Inflammation of the uveal tract in which inflammation affects the anterior chamber, vitreous, retina or choroid.",,HP:0012121
8523,Anterior uveitis,0012122,Inflammation of the uveal tract in which the primary site of inflammation is the anterior chamber.,,HP:0012122
8524,Posterior uveitis,0012123,Inflammation of the uveal tract in which the primary site of inflammation is the retina or choroid.,Choroiditis,HP:0012123
8525,Intermediate uveitis,0012124,Inflammation of the uveal tract in which the primary site of inflammation is the vitreous.,,HP:0012124
8526,Prostate cancer,0012125,A cancer of the prostate.,Prostatic cancer,HP:0012125
8527,Stomach cancer,0012126,A cancer arising in any part of the stomach.,Gastric cancer,HP:0012126
8528,Uraciluria,0012127,Increased concentration of uracil in the urine.,High urine uracil levels,HP:0012127
8529,Basal ganglia necrosis,0012128,Death of cells in the basal ganglia.,,HP:0012128
8530,Abnormality of bone marrow stromal cells,0012129,,,HP:0012129
8531,Abnormal erythroid lineage cell morphology,0012130,"An anomaly of erythroid lineage cells, that is, of the erythropoietic cells in the lineage leading to and including erythrocytes.",Abnormality of cells of the erythroid lineage,HP:0012130
8532,Abnormal number of erythroid precursors,0012131,"A deviation from the normal count of erythroid precursor cells, that is, erythroid lineage cells in the bone marrow.",,HP:0012131
8533,Erythroid hyperplasia,0012132,"Increased count of erythroid precursor cells, that is, erythroid lineage cells in the bone marrow.",,HP:0012132
8534,Erythroid hypoplasia,0012133,"Decreased count of erythroid precursor cells, that is, erythroid lineage cells in the bone marrow.",Erythroblastopenia,HP:0012133
8535,Dysplastic erythropoesis,0012134,,,HP:0012134
8536,Abnormal granulocytopoietic cell morphology,0012135,"An anomaly of cells involved in the formation of a granulocytes, that is, of the granulocytopoietic cell.",Abnormality of cells of the granulocytic lineage,HP:0012135
8537,Dysplastic granulopoesis,0012136,,,HP:0012136
8538,Abnormal number of granulocyte precursors,0012137,,,HP:0012137
8539,Granulocytic hyperplasia,0012138,,,HP:0012138
8540,Granulocytic hypoplasia,0012139,Decreased number of granulocyte precursors in the bone marrow.,,HP:0012139
8541,Pancreatic squamous cell carcinoma,0012142,A subtype of ductal pancreatic carcinoma that is thought to originate from squamous metaplasia of pancreatic ductal epithelium.,Squamous cell carcinoma of the pancreas,HP:0012142
8542,Abnormal megakaryocyte morphology,0012143,"Any structural anomaly of megakaryocytes. Mature blood platelets are released from the cytoplasm of megakaryocytes, which are bone-marrow resident cells.",Abnormality of cells of the megakaryocyte lineage,HP:0012143
8543,Abnormal monocyte morphology,0012144,"Any structural anomaly of a myeloid mononuclear recirculating leukocyte that can act as a precursor of tissue macrophages, osteoclasts and some populations of tissue dendritic cells.",,HP:0012144
8544,Abnormality of multiple cell lineages in the bone marrow,0012145,,,HP:0012145
8545,Abnormality of von Willebrand factor,0012146,Decreased quantity or activity of von Willebrand factor. Von Willebrand factor mediates the adhesion of platelets to the collagen exposed on endothelial cell surfaces.,,HP:0012146
8546,Reduced quantity of Von Willebrand factor,0012147,Decreased quantity of von Willebrand factor.,,HP:0012147
8547,Multiple lineage myelodysplasia,0012148,"Myelodysplasia with dysplastic changes in two or more of the myeloid lineages: erythroid, granulocytic, megakaryocytic.",,HP:0012148
8548,Bilineage myelodysplasia,0012149,"Myelodysplasia with dysplastic changes in two of the myeloid lineages: erythroid, granulocytic, megakaryocytic.",,HP:0012149
8549,Single lineage myelodysplasia,0012150,"Abnormality/dysplasia of a single myeloid cell (erythroid, granulocytic, or megakaryocytic).",,HP:0012150
8550,Hemothorax,0012151,The presence of blood in the pleural space.,,HP:0012151
8551,Foveoschisis,0012152,Splitting of the retinal layers in the macula.,Retinoschisis involving the fovea,HP:0012152
8552,Hypotriglyceridemia,0012153,An decrease in the level of triglycerides in the blood.,"Decreased circulating Tg levels, Decreased plasma Tg levels, Low blood triglyceride levels",HP:0012153
8553,Anhedonia,0012154,Inability to experience pleasure activities usually found enjoyable.,,HP:0012154
