Term,ID,Definition,Synonyms
Posterior predominant thick cortex pachygyria,20189,"Pachygyria with cortical thickness above 10 mm with and a posterior predominant severety gradient. The severety gradient is determined based on the gyral width, with gyri typically wider than 5mm over the more severely affected regions. Posterior predominant gradient indicates pachygyria more severe other the occipital lobes but also includes a rare perisylvian-predominant pachygyria and a temporal predominant pachygyria.","Occipital predomimant classic pachygyria, Pachygyria with cortical thickness over 10 mm posterior predominant"
Perisylvian predominant thick cortex pachygyria,20190,"Pachygyria with cortical thickness greater than 10 mm and a perisylvian predominant severity gradient. The severity gradient is determined based on the gyral width, with gyri typically wider than 5mm over the more severely affected regions. Perisylvian predominant gradient indicates pachygyria more severe other the occipital lobes but also includes a rare perisylvian-predominant pachygyria and a temporal predominant pachygyria.",Pachygyria with cortical thickness > 10 mm perisylvian predominant
Anterior predominant thick cortex pachygyria,20191,"Pachygyria with cortical thickness greater than 10 mm and an anterior predominant severity gradient. The severety gradient is determined based on the gyral width, with gyri typically wider than 5mm over the more severely affected regions. Anterior predominant gradient indicates pachygyria more severe over the frontal and temporal lobes.",Pachygyria with cortical thickness > 10 mm anterior predominant
Pachygyria with 5-10 mm cortical thickness,20192,Pachygyria with a mildly thickend cerebral cortex measuring 5-10 mm. Note that cortical thickness cannot be measured reliably on scans done between 3 and 24 months of age.,
Prolonged reptilase time,20193,"An abnormally increased duration of the reptilase time. Reptilase time is a functional plasma clotting assay, which is based on the enzymatic activity of batroxobin. By specifically cleaving fibrinogen A from fibrinogen, batroxobin leads to the formation of a stable fibrin clot. The time, starting from the addition of batroxobin to the plasma sample, until clot formation is the reptilase time and is given in seconds.",
IgA heavy chain paraproteinemia,20194,An abnormal IgA heavy chain in the circulation and typically produced by a clonal population of B-cell derived plasma cells.,
IgG heavy chain paraproteinemia,20195,An abnormal IgG heavy chain in the circulation and typically produced by a clonal population of B-cell derived plasma cells.,
IgM heavy chain paraproteinemia,20196,An abnormal IgM heavy chain in the circulation and typically produced by a clonal population of B-cell derived plasma cells.,
Increased circulating arachidonic acid concentration,20197,An increased circulation of arachidonic acid in the blood circulation.,"Increased circulating arachidonate level, Increased circulating arachidonic acid level"
Abnormal circulating 18-hydroxycorticosterone level,20198,Any deviation from the normal concentration of 18-Hydroxycorticosterone level in the blood circulation.,
Decreased circulating 18-hydroxycortisone level,20199,A subnormal concentration of 18-Hydroxycorticosterone level in the blood circulation.,
Increased circulating 18-hydroxycortisone level,20200,An abnormally elevated concentration of 18-Hydroxycorticosterone level in the blood circulation.,
Abnormal sarcomere morphology,20201,"Any structural anomaly of the sarcomere, which is unit of a myofibril in a muscle cell, composed of an array of overlapping thick and thin filaments between two adjacent Z discs.",
Abnormal Z disc morphology,20202,"Any structural anomaly of the Z disc, which is the platelike region of a muscle sarcomere to which the plus ends of actin filaments are attached.",
Z-band streaming,20203,"Streaming or smearing of the Z band, which is then no longer confined to a narrow zone which bisects the I band. The Z disc may extend across the I band or the entire sarcomere in a zigzag manner. Focal thickening, smudging, and blurring of the Z band takes place concurrently. Myofibrillar disorganization is a frequent but not invariable accompanying change.",
Tubulointerstitial bacterial infiltration,20204,Tubulointerstitial infiltration of bacteria identified on routine and/or special (Brown-Hopps) stains.,Renal tubulointerstitial bacterial organisms
Tubulointerstitial fungal infiltration,20205,"Tubulointerstitial infiltration of yeast or hyphal-microrganisms identified on routine and/or special (PAS, silver) stains.",Renal tubulointerstitial fungal organisms
Simple ear,20206,The pinna has fewer folds and grooves than usual.,
Reflex seizure,20207,Seizures precipitated by exogenous stimuli.,
Eating-induced seizure,20208,"A seizure precipitated by aspects of anticipating food, eating itself, or the post-prandial period.",
Hot water-induced seizure,20209,A seizure precipitated by pouring cupfuls of very hot water (40 to 50 degrees Celsius) in rapid succession over the head. Bathing in this manner is the most common trigger.,
Praxis-induced seizure,20210,"A seizure precipitated by complex, cognition-guided tasks often involving visuomotor coordination and decision-making.",
Proprioceptive-induced seizure,20211,A seizure precipitated by movement or a change in posture.,
Reading-induced seizure,20212,A seizure precipitated by reading.,
Somatosensory-induced seizure,20213,A somatosensory reflex seizure is a seizure precipitated by somatic stimulation of a specific part of the body in the absence of startle or surprise.,
Startle-induced seizure,20214,"Startle-induced seizures are triggered by multiple and non-specific stimuli (auditory, somatosensory, and rarely visual) and are characterized by their sudden unexpected nature. Sudden noise rather than pure sound is the most effective acoustic stimulus.",
Thinking-induced seizure,20215,Seizures induced by thinking and decision-making.\ncomment:,Cognition induced seizure
Visually-induced seizure,20216,"Seizures evoked by visual stimuli. This includes clinical seizures induced by strobe lighting, television and other screens, flickering environmental lighting and self-induction by causing a strobe effect.",Photosensitive seizure
Focal aware motor seizure,20217,A type of focal motor seizure in which awareness is retained throughout the seizure.,Focal motor aware seizure
Focal aware atonic seizure,20218,A type of focal atonic seizure during which awareness is fully retained throughout.,
Motor seizure,20219,A motor seizure is a type of seizure that is characterized at onset by involvement of the skeletal musculature. The motor event could consist of an increase (positive) or decrease (negative) in muscle contraction to produce a movement.,
Focal atonic seizure,20220,"A focal seizure characterized at onset by sudden loss or diminution of muscle tone without apparent preceding myoclonic or tonic activity, typically lasting more than 500 ms but less than 2 seconds. It may involve the head, trunk, jaw or limb musculature.","Localised atonic seizure, Localised hypotonic seizure, Localized atonic seizure, Localized hypotonic seizure, Partial atonic seizure, Partial hypotonic seizure, Segmental atonic seizure, Segmental hypotonic seizure"
Clonic seizure,20221,"A clonic seizure is a type of motor seizure characterized by sustained rhythmic jerking, that is regularly repetitive.",
Hypohomocysteinemia,20222,A decreased concentration of homocystine in the blood.,
Dermal sinus tract,20223,"A dermal sinus tract is an abnormality present at birth over the dorsal midline where an abnormal epithelialized connection from the skin tracks inwards towards the spine, most commonly seen in the lumbosacral region.",
Hallux rigidus,25004,Osteoarthritis of the metatarsophalangeal joint of the first toe.,Arthritis of the big toe
Thickening of glomerular capillary wall,25005,Widening of the wall of capillary blood vessels in the glomerulus. This feature may be produced by deposits and other changes affecting either subepithelial and subendothelial regions or the glomerular basement membrane itself.,
Abnormal glomerular capillary morphology,25006,A structural anomaly of the capillary blood vessels in the renal glomerulus.,
Ectopic fovea,25007,"An abnormal anatomic position of the fovea, the small, central pit composed of closely packed cones that is located in the macula of the retina.",
Tracheal tug on inspiration,25008,Downward movement of the trachea during inspiration due to downward traction on the tracheobronchial tree.,
Forward slanting upper incisors,25009,The upper incisors deviate from the normal angle of being roughly parallel to the surface of the face and instead slant outwards.,"Forward directed upper incisors, Proclination of the upper incisors, Protruding upper incisors"
Foveal atrophy,25010,Partial or complete loss of foveal tissue that was once present.,
Pyriform aperture stenosis,25011,"Narrowing of the anterior nasal aperture (piriform or pyriform aperture), which is a pear-shaped opening in the skull that forms the bony inlet of the nose.",
Status cribrosum,25012,"Diffusely widened perivascular spaces in the basal ganglia, affecting especially the corpus striatum. Status cribrosum is usually symmetrical, with the perivascular spaces showing CSF signal and without diffusion restriction. The word cribriform means sievelike, with multiple perforations.",
Decerebrate rigidity,25013,A type of rigidity that is manifested by an exaggerated extensor posture of all extremities.,Decerebrate posturing
Subcutaneous spheroids,25014,"Small, hard cyst-like nodules, freely moveable in the subcutis over the bony prominences of the legs and arms, which have an outer calcified layer with a translucent core on x-ray.",
Abnormal vascular morphology,25015,,
Abnormal capillary morphology,25016,A structural anomaly of the tiny blood vessels that connect arterioles with venules and whose walls act as semipermeable membranes that mediate the diffusion of fluids and gases between the blood circulation and body tissues.,
Capillary fragility,25017,Reduced resistance to rupture of capillary blood vessels. Capillary fragility may manifest as a bleeding diathesis with spontaneous ecchymoses (bruises).,
Abnormal capillary physiology,25018,A functional anomaly of the tiny blood vessels that connect arterioles with venules and whose walls act as semipermeable membranes that mediate the diffusion of fluids and gases between the blood circulation and body tissues.,
Arterial rupture,25019,Sudden breakage of an artery leading to leakage of blood from the circulation.,
Elevated prostate-specific antigen level,25020,An increased concentration of prostate specific antigen (PSA) in the circulation.,
Abnormal erythrocyte sedimentation rate,25021,"A deviation from normal range of the erythrocyte sedimentation rate (ESR), a test that measures the distance that erythrocytes have fallen after one hour in a vertical column of anticoagulated blood under the influence of gravity. The ESR is a nonspecific finding. An elevation may indicate inflammation or may be caused by any condition that elevates fibrinogen. A decreased ESR may be seen in polycythemia or in certain blood diseases in which red blood cells have an irregular or smaller shape that causes slower settling.","Abnormal ESR, Abnormal Westergren sedimentation rate"
Decreased erythrocyte sedimentation rate,25022,A reduced erythrocyte sedimentation rate (ESR). The ESR is a test that measures the distance that erythrocytes have fallen after one hour in a vertical column of anticoagulated blood under the influence of gravity. The ESR is a nonspecific finding. A decreased ESR may be seen in polycythemia or in certain blood diseases in which red blood cells have an irregular or smaller shape that causes slower settling.,"Decreased ESR, Low ESR"
Rectal atresia,25023,"A developmental defect resulting in complete obliteration of the lumen of the rectum. That is, there is an abnormal closure, or atresia of the tubular structure of the rectum.",Atresia of the rectum
Megarectum,25024,"An abnormal dilation of the rectum. There is a large filled rectum as a result of underlying innervation or muscular abnormalities, which remains after disimpaction of the rectum.",
Rectovestibular fistula,25025,"A congenital malformation characterized by an abnormal connection (fistula) between the rectum and the vulval vestibule, at the lower aspect of the vaginal opening.",Vestibular fistula
H-type rectovestibular fistula,25026,Rectovestibular fistula with a normal anus is known as H-type fistula or double termination of the alimentary tract.,
Osteoma cutis,25027,"The term osteoma refers to the anomalous presence of ossification (bone formation) in the interior of the dermis or epidermis. The dermal or subcutaneous bone formation presents as stony hard nodules. The osteomata appear as irregular, hardened small nodules that are well circumscribed and generally of the same color as the skin.","Cutaneous osteosis, Miliary osteoma, Osteomatosis"
Abnormality of enteric nervous system morphology,25028,A structural anomaly of nerves of the enteric nervous system.,
Abnormality of enteric neuron morphology,25029,,
Enteric neuronal degeneration,25030,"Deterioration of enteric neurons with impairment of enteric neuronal structure. Typical neuropathological findings include qualitative (e.g., neuronal swelling, intranuclear inclusions, axonal degeneration) and quantitative (e.g., reduction in the number of neurons) abnormalities of the enteric neurons.",
Abnormality of the digestive system,25031,,
Abnormality of digestive system physiology,25032,A functional anomaly of the digestive system.,
Abnormality of digestive system morphology,25033,A structural anomaly of the digestive system.,
Abnormal morphology of erythroid progenitor cell,25034,Abnormal form of the progenitor cells committed to the erythroid lineage.,
Abnormal proerythroblast morphology,25035,"Anomalous form of the proerythroblast, i.e., the immature, nucleated erythrocyte occupying the stage of erythropoeisis that follows formation of erythroid progenitor cells. This cell is CD71-positive, has both a nucleus and a nucleolus, and lacks hematopoeitic lineage markers.",
Hypothalamic gliosis,25037,Focal proliferation of glial cells in the hypothalamus.,
Intratesticular abscess,25038,"A collection of pus within a testicle. Ultrasonographic features include shaggy, irregular walls, intratesticular location, low-level internal echoes, and occasionally, hypervascular margins.",Testicular abscess
Basal ganglia edema,25039,Swelling within the basal ganglia due to the accumulation of fluid.,"Basal ganglia oedema, Edema of the basal ganglia, Oedema of the basal ganglia"
Thalamic edema,25040,Swelling within the thalamus due to the accumulation of fluid.,"Edema of the thalamus, Oedema of the thalamus, Thalamic oedema"
Thalamic calcification,25041,Calcium deposition in the thalamus.,
Abnormality of mesenteric lymph nodes,25042,A morphological anomaly of lymph nodes in the mesenteric root or throughout the mesentery.,
Enlarged mesenteric lymph node,25043,Increase in size of one or more mesenteric lymph nodes.,
Lung abscess,25044,"A circumscribed area of pus or necrotic debris in lung parenchyma, which leads to a cavity, and after formation of bronchopulmonary fistula, can manifest as an air-fluid level inside the cavity.",
Abnormal brain lactate level by MRS,25045,A deviation from normal of the level of lactate in the brain identified by magnetic resonance spectroscopy (MRS).,Abnormal lactate level by magnetic resonance spectroscopy
Reduced brain lactate level by MRS,25046,A decrease in the level of lactate in the brain identified by magnetic resonance spectroscopy (MRS).,Reduced brain lactate level by magnetic resonance spectroscopy
Abnormal brain choline level by MRS,25047,A deviation from normal in the level of choline-containing compounds in the brain identified by magnetic resonance spectroscopy (MRS).,Abnormal brain choline level by magnetic resonance spectroscopy
Reduced brain choline level by MRS,25048,An decrease in the level of choline-containing compounds in the brain identified by magnetic resonance spectroscopy (MRS).,Reduced brain choline level by magnetic resonance spectroscopy
Abnormal brain creatine level by MRS,25049,,Abnormal brain creatine level by magnetic resonance spectroscopy
Elevated brain creatine level by MRS,25050,An increase in the level of creatine in the brain identified by magnetic resonance spectroscopy (MRS).,Elevated brain creatine level by magnetic resonance spectroscopy
Reduced brain creatine level by MRS,25051,A decrease in the level of creatine in the brain identified by magnetic resonance spectroscopy (MRS).,"Low brain creatine phosphate, Reduced brain creatine level by magnetic resonance spectroscopy"
Abnormal brain N-acetyl aspartate level by MRS,25052,A deviation from normal in the level of N-acetyl aspartate in the brain identified by magnetic resonance spectroscopy (MRS).,Abnormal brain N-acetyl aspartate level by magnetic resonance spectroscopy
Elevated brain N-acetyl aspartate level by MRS,25053,An increase in the level of N-acetyl aspartate in the brain identified by magnetic resonance spectroscopy (MRS).,Elevated brain N-acetyl aspartate level by magnetic resonance spectroscopy
Abnormality of olfactory lobe morphology,25057,"A structural anomaly of the olfactory lobe, the structure within the brain that receives neural input from the nasal cavity and thereby processes the sense of smell.",
Hypothalamic atrophy,25058,Partial or complete wasting (loss) of hypothalamus tissue that was once present.,Atrophy of the hypothalamus
Splenic abscess,25059,A circumscribed area of pus or necrotic debris in the parenchyma of the spleen.,
Multifocal splenic abscess,25060,Multiple abscess lesions in the spleen.,Multilocular splenic abscess
Unifocal splenic abscess,25061,Single (solitary) abscess in the spleen.,"Solitary splenic abscess, Unilocular splenic abscess"
Geophagia,25062,The practice of eating earth or soil-like substrates such as clay or chalk.,Geophagy
Scaphoid abdomen,25063,The anterior abdominal wall is sunken and presents a concave rather than a convex contour.,
Thalamic hemorrhage,25064,Bleeding in the thalamus.,Thalamic haemorrhage
Abnormal mean corpuscular volume,25065,"A deviation from normal of the mean corpuscular volume, or mean cell volume (MCV) of red blood cells, usually taken to be 80 to 100 femtoliters.","Abnormal erythrocyte volume, Abnormal MCV"
Decreased mean corpuscular volume,25066,"A reduction from normal of the mean corpuscular volume, or mean cell volume (MCV) of red blood cells (usually defined as an MCV below 80 femtoliters).","Decreased MCV, Microcytosis, Reduced erythrocyte volume"
Incomitant strabismus,25068,"Strabismus in which the angle of deviation differs depending upon the direction of gaze or according to which eye is fixing, associated with: (i) defective movement of the eye, (ii) asymmetrical accommodative effort.",
Concomitant strabismus,25069,"Strabismus in which the angle of deviation of the squiting eye remains the same in relation to the other eye, in all directions of gaze, and whichever eye is fixing.",Comitant strabismus
Abnormal U wave,25070,"An anomaly of the U wave of the electrocardiogram (EKG). The U wave is a small (0.5 mm) deflection immediately following the T wave, usually in the same direction as the T wave. It is best seen in leads V2 and V3.",
U wave inversion,25071,"Direction of the U wave opposite to the T wave (i.e., below baseline) in leads with upright T waves.",
Prominent U wave,25072,"Increased amplitude of the U wave, defined as an amplitude grerater than 1-2mm or 25 percent of the height of the T wave.",Increased U wave amplitude
Exercise-induced U wave inversion,25073,U wave inversion that is induced by exercise stress testing.,
Abnormal QRS complex,25074,"An anomaly of the complex formed by the Q, R, and S waves, which occur in rapid succession on the electrocardiogram.",
Increased QRS voltage,25075,"Elevation of the voltage (height) of the QRS complex. There are several criteria in use, but the most common is the Sokolov-Lyon criterion (S wave depth in V1 + tallest R wave height in V5-V6 greater than 35 mm).",
Abnormal QRS voltage,25076,Abnormal amplitude of the QRS complex of the electrocardiogram (EKG).,
Decreased QRS voltage,25077,"Reduced amplitude (height) of the QRS complex of the electrocardiogram (EKG), defined as amplitudes of all the QRS complexes in the limb leads are less than 5 mm or amplitudes of all the QRS complexes in the precordial leads less than 10 mm.",
Electrical alternans,25078,The QRS complexes of the electrocardiogram alternate in height.,
Pancreatic abscess,25079,A circumscribed area of pus or necrotic debris in the parenchyma of the pancreas.,Pancreas abscess
Orthokeratotic hyperkeratosis,25080,A form of hyperkeratosis characterized by thickening of the cornified layer without retained nuclei.,
Darier's sign,25081,"A skin change elicited by briskly rubbing the skin lesion in urticaria pigmentosa (UP), whereby the area begins to itch and becomes raised and surrounded by erythema. Unlike other forms of dermatographism, Darier's sign refers to urtication that is limited to the UP involved areas and, as in this case, spares the skin unaffected by UP.",
Abnormal cutaneous elastic fiber morphology,25082,Any structural anomaly of the elastic fibers of the skin. Elastic fibers are the essential extracellular matrix macromolecules comprising an elastin core surrounded by a mantle of fibrillin-rich microfibrils.,Abnormal cutaneous elastic fibre morphology
Elevated dermal desmosine content,25083,An increased amount of desmosine measure in the skin. Desmosine is a cross-linking amino acid formed from lysyl residues in elastin.,
Folliculitis,25084,"Inflammatory cells within the wall and ostia of the hair follicle, creating a follicular-based pustule.",Follicular pustule
Bloody diarrhea,25085,Passage of many stools containing blood.,"Bloody bowel movement, Bloody diarrhea, Bloody diarrhoea"
Bloody mucoid diarrhea,25086,Passage of many stools containing blood and mucus.,Bloody mucoid diarrhoea
Delayed recoil upon stretching of skin,25087,Area of skin requiring an increased amount of time to return to its original shape after being stretched.,
Onychomadesis,25088,Complete shedding (separation) of the nail from the proximal matrix. Onychomadesis is the proximal separation of the nail plate from the nail matrix due to a temporary cessation of nail growth.,
Feculent vomiting,25089,Vomiting of material that is of fecal origin.,"Faecal vomiting, Fecal vomiting, Stercoraceous vomiting, Vomiting faecal matter, Vomiting fecal matter"
Abnormal large intestinal mucosa morphology,25090,A structural anomaly of the mucous lining of the large intestine.,
Epidermal acanthosis,25092,Diffuse hypertrophy or thickening of the stratum spinosum of the epidermis (prickle cell layer of the skin).,"Acanthosis, Acanthotic epidermis, Thickening of upper layer of skin"
Peripapillary exudate,25093,A retinal exudate in the area surrounding the optic nerve head.,Peripapillary exudation
Disciform macular scar,25094,A subretinal scar with a disc-like shape in the region of the macula.,
Sneeze,25095,"A sudden violent, spasmodic, audible expiration of breath through the nose and mouth.",
Paroxysmal sneezing,25096,Unprovoked explosive pathological sneezing.,
Eyelid myoclonus,25097,"Marked, involuntary jerking of the eyelids.",Blepharoclonus
Dysgenesis of the hypothalamus,25098,Structural abnormality of the hypothalamus related to defective development.,Hypothalamic dysgenesis
Dysgenesis of the thalamus,25099,Structural abnormality of the thalamus related to defective development.,Thalamic dysgenesis
Abnormal hippocampus morphology,25100,"Any structural anomaly of the hippocampus,","Abnormal morphology of the hippocampus, Abnormality of hippocampus morphology"
Dysgenesis of the hippocampus,25101,Structural abnormality of the hippocampus related to defective development.,Hippocampal dysgenesis
Dysgenesis of the basal ganglia,25102,Structural abnormality of the basal ganglia related to defective development.,Basal ganglia dysgenesis
Umbilicated nodule,25103,"A type of skin nodule that has a small depression that resembles a navel (i.e., is umbilicated).",
Capillary malformation,25104,"A capillary malformation is a flat, sharply defined vascular stain of the skin. It may cover a large surface area or it may be scattered and appear as little islands of color. In a capillary maformation, the predominant vessels are small, slow-flow vessels (i.e., arterioles and postcapillary venules).",
Nevus anemicus,25105,A congenital skin lesion characterized by irregular hypopigmented macules that coalesce to form plaques and occur particularly on the chest. It is generally present at birth or develops in the first days of life. It is more common in females. Diagnosis is confirmed by applying gentle friction to the lesion and the surrounding skin and checking that the erythema produced in the healthy skin does not appear in the hypopigmented lesion. This pale macule becomes more conspicuous when the lesion and its surroundings are rubbed. The margin of the naevus is ill-defined and consists of an archipelago of small anaemic spots.,Naevus anaemicus
Nevus roseus,25106,"A variant of port-wine stain characterized by a pale red or even pink tone, in contrast to the darker hue of the port-wine stain. By analogy with the term port-wine stain, this variant rose-wine stain, or nevus roseus. Nevus roseus, however, cannot be definitely diagnosed until adulthood as port-wine stains are sometimes pink in children. While the natural history of port-wine stains includes hypertrophy, darkening, and nodularity, nevus roseus remains unchanged for life.",
Cutis marmorata telangiectatica congenita,25107,"A congenital vascular malformation that presents as localized or generalized erythematous-telangiectatic lesions with a reticular pattern; the lesions are almost always present at birth or develop in the first days of life. Cutis marmorata telangiectatica congenita (CMTC) appears as marble-like pattern (mottling) on the surface of the skin. In contrast to cutis marmorata, the marbling is more severe and always visible.",
Angioma serpentinum,25108,"Angioma serpiginosum consists of punctate, tightly packed telangiectatic lesions. Characteristic histopathological features are dilated and tortuous capillaries involving the uppermost part of the dermis.",
Reduced red cell pyruvate kinase level,25109,Decrease in the level of pyruvate kinase (PK) within erythrocytes. PK catalyzes the reaction: ATP + pyruvate = ADP + phosphoenolpyruvate.,Reduced erythrocyte pyruvate kinase activity
Placoid macular lesion,25110,"Yellow/white, sharply delineated lesion, typically of inflammatory nature, involving the macula.",
Sound sensitivity,25112,Decreased tolerance to sound.,Noise sensitivity
Misophonia,25113,"An adverse response (dislike) to sound no matter what volume the sound is, characterized by a strong negative reaction to soft sounds that can sometimes be further triggered by seeing the source of the offending sound.",
Hypergranulosis,25114,Hypergranulosis is an increased thickness of the stratum granulosum.,
Civatte bodies,25115,"Eosinophilic hyaline ovoid bodies which are often found in the subepidermal papillary regions or sometimes in the epidermis. Civatte bodies (CBs) are seen as rounded, homogenous, eosinophilic masses on routine H and E staining lying in the deeper parts of epidermis/epithelium and more frequently in dermis/connective tissue. They are known as CBs (in epithelium/epidermis), colloid bodies, or hyaline bodies (in connective tissue). They are 10-25 micrometers in diameter and situated mostly within or above the inflammatory cell infiltrate. In lichen planus, the number of necrotic keratinocytes may be so large that they are seen lying in clusters in the uppermost dermis. These bodies show a positive periodic acid Schiff reaction and are diastase resistant","Colloid bodies, Colloid bodies of Civatte, Cytoid bodies, Hyaline bodies"
Fetal distress,25116,"An intrauterine state characterized by suboptimal values in the fetal heart rate, oxygenation of fetal blood, or other parameters indicative of compromise of the fetus. Signs of fetal distress include repetitive variable decelerations, fetal tachycardia or bradycardia, late decelerations, or low biophysical profile.",Foetal distress
Rete ridge flattening,25117,Rete pegs (or ridges) are the epithelial extensions that project into the underlying connective tissue in both skin and mucous membranes. Rete ridge flattening refers to the loss of these projections so that the skin epithelium acquires a relatively flat appearance.,"Flattened rete pegs, Flattened rete ridges"
Lip discoloration,25118,Lightening or darkening of the lips from their usual coloring.,
Violet lip discoloration,25119,An alteration of the color of the lip to take on a violet color. This term does not include cyanosis.,
Sawtooth acanthosis,25122,A type of epidermal acanthosis characterized by a jagged (sawtooth) appearance of the rete ridges of the epidermis.,Sawtoothed acanthosis
White streaks/specks on enamel.,25123,Areas of white discoloration visible on the surface of the teeth (enamel) in the form of streaks or specks.,
Fragile teeth,25124,A tendency of teeth to fracture as manifested by a history of repeated fracture of the dental enamel without adequate trauma.,"Enamel with tendency to chip, Spontaneous tooth fracture"
White lesion of the oral mucosa,25125,"White lesions of the oral mucosa are generally caused by a condition that increases the thickness of the epithelium. This increases the distance to the vascular bed and thereby tends to change the usual reddish color of the oral mucosa to white. Common causes include hyperkeratosis (thickening of the keratin layer), acanthosis (thickening of the spinous cell layer), increased edema in the epithelium (leukoedema), and reduced vascularity of the underlying lamina propria. Additionally, fibrin caps or surface ulcerations and collapsed bullae can appear white.",
Oral hairy leukoplakia,25126,A corrugated white lesion of the oral mucosa that usually occurs on the lateral or ventral surfaces of the tongue and may have a shaggy or frayed appearance.,
Actinic keratosis,25127,"A scaly, crusty lesion caused by damage from the ultraviolet radiation of the sun, with typical location on sun-exposed areas of the skin. Actinic keratosis lesions are often elevated, rough, and wartlike, and may be red, or occasionally tan, pink, or flesh-toned in color.",Solar keratosis
Reduced intraabdominal adipose tissue,25128,An abnormally reduced amount of adipose tissue in the abdominal cavity.,
Abnormal small intestinal mucosa morphology,25129,A structural anomaly of the mucous lining of the small intestine.,
Decreased small intestinal mucosa lactase level,25130,"Lactase is produced in the small intestine in humans, Lactase is a member of the beta-galactosidase family of enzymes, and hydrolyzes D-lactose to form D-galactose and D-glucose, which can be absorbed by the small intestine. There are many ways of assessing lactase activity. In one test, an endoscopic biopsy from the postbulbar duodenum is incubated with lactose on a test plate, and a color reaction develops within 20 min as a result of hydrolyzed lactose (a positive result) in patients with normolactasia, whereas no reaction (a negative result) develops in patients with severe hypolactasia. Other, less direct, tests include the hydrogen breath test, and blood tests following lactose challenges.",Lactase deficiency
Finger swelling,25131,Enlargement of the soft tissues of one or more fingers.,"Swelling of fingers, Swollen finger, Swollen fingers"
Abnormal circulating estrogen level,25132,A deviation from normal concentration of the hormone estrogen in the blood circulation.,"Abnormal circulating oestrogen level, Abnormal estrogen level, Abnormal oestrogen level"
Abnormal serum estradiol,25133,A deviation from normal concentrations of estradiol in the circulation.,
Increased serum estradiol,25134,An elevation above normal limits of the concentration of estradiol in the circulation.,"Increased estradiol level, Increased serum oestradiol"
Abnormal serum estriol,25135,A deviation from normal concentration of estriol in the circulation.,
Increased serum estriol,25136,An elevation above normal limits of estriol concentration in the circulation.,
Decreased serum estriol,25137,A reduction below normal limits of estriol in the circulation.,
Abnormal serum estrone,25138,A deviation from the normal concentration of circulating estrone.,
Increased serum estrone,25139,An elevation above normal limits of the concentration of estrone in the circulation.,
Decreased serum estrone,25140,A reduction below normal limits of the concentration of estrone in the circulation.,
Gingival calcification,25141,Ectopic deposition of calcium salts found in the gingiva.,Gingival calcifications
Constitutional symptom,25142,A symptom or manifestation indicating a systemic or general effect of a disease and that may affect the general well-being or status of an individual.,
Chills,25143,A sudden sensation of feeling cold.,Chills
Shivering,25144,Involuntary contraction or twitching of the muscles.,"Shivering, Shuddering"
Rigors,25145,Severe chills with violent shivering. A rigor is an episode of shaking or exaggerated shivering which can occur with a high fever.,Rigours
Foveal degeneration,25146,"Deterioration of the tissue of the fovea, i.e.,the region of sharpest vision within the macula of the retina.",
Beaten bronze macular sheen,25147,"A shiny appearance of the macula, which is often called a beaten bronze appearance.","Beaten metal macular appearance, Beaten-bronze macular appearance, Beaten-bronze macular sheen"
Dark choroid,25148,A fluorescein angiographic finding of absence of the normal background fluorescence (a dark choroid).,
Atrophic muscularis propria,25149,"Partial or complete wasting (loss) of muscularois propria tissue that was once present. The atrophy may involve a marked vacuolar degeneration of myocytes, loss of muscle fibers and some cases a highly characteristic honeycomb fibrosis.",
Hypoganglionosis,25150,Sparse and small myenteric ganglia,
Ganglioneuromatosis,25151,"Hyperplastic submucosal and myenteric plexus containing an increased number of ganglion cells, glial cells and nerve fibers.",
Poor visual behavior for age,25152,Lack of visual responsiveness or decrease in visual capabilities suggesting a lack of visual responsiveness or decrease in visual capabilities in an infant or young child in which visual behavior fails to meet normal developmental milestones.,"Abnormal visual behavior for age, Abnormal visual behaviour for age, Poor visual behaviour for age"
Transient,25153,Short-lived and not permanent. This term applies to a phenotypic abnormality that is temporary and of short duration.,
Portosystemic collateral veins,25154,Presence of biliary veins that serve as a collateral channel to the systemic circulation,"Collateral biliary circulation, Collateral biliary veins"
Abnormality of hepatobiliary system physiology,25155,A functional anomaly of the hepatobiliary system,
Dependency on intravenous nutrition,25156,"Inability to be weaned from intravenous (parenteral) nutrition, as judged by the hydration status (urine output, blood urea nitrogen, creatinine, urine sodium concentration), ability to maintain weight, stool output, and serum electrolyte status.",Dependency on IV nutrition
Increased urinary sedoheptulose,25157,An increased concentration of sedoheptulose in the urine. Sedoheptulose is a monosaccharide with seven carbon atoms and a ketone functional group.,
Hyperautofluorescent retinal lesion,25158,Increased amount of autofluorescence in the retina as ascertained by fundus autofluorescence imaging.,
Hypoautofluorescent retinal lesion,25159,Decreased amount of autofluorescence in the retina as ascertained by fundus autofluorescence imaging.,Hypo-autofluorescent retinal lesion
Abnormal temper tantrums,25160,"A temper tantrum is an emotional outburst usually triggered by a sense of frustration and manifested as whining and crying, screaming, kicking, hitting, and breath holding. Temper tantrums are normal in toddlers and young children and usually happen between the ages of one to three years. Temper tantrums may be considered abnormal if they occur at an unusually high frequency, are of unusual severity, or occur at an old age than usual.",
Frequent temper tantrums,25161,Temper tantrums that occur more frequently than usual.,
