,Definition,ClassificationLevel
3604,"foodborne botulism is the most common form of botulism (see this term), a rare acquired neuromuscular junction disease with descending flaccid paralysis due to botulinum neurotoxins (bonts). it is caused by consumption of contaminated food containing bonts.",Subtype of disorder
3605,"foodborne botulism is the most common form of botulism (see this term), a rare acquired neuromuscular junction disease with descending flaccid paralysis due to botulinum neurotoxins (bonts). it is caused by consumption of contaminated food containing bonts.",Subtype of disorder
3606,"foodborne botulism is the most common form of botulism (see this term), a rare acquired neuromuscular junction disease with descending flaccid paralysis due to botulinum neurotoxins (bonts). it is caused by consumption of contaminated food containing bonts.",Subtype of disorder
3607,"foodborne botulism is the most common form of botulism (see this term), a rare acquired neuromuscular junction disease with descending flaccid paralysis due to botulinum neurotoxins (bonts). it is caused by consumption of contaminated food containing bonts.",Subtype of disorder
3608,"foodborne botulism is the most common form of botulism (see this term), a rare acquired neuromuscular junction disease with descending flaccid paralysis due to botulinum neurotoxins (bonts). it is caused by consumption of contaminated food containing bonts.",Subtype of disorder
3609,"foodborne botulism is the most common form of botulism (see this term), a rare acquired neuromuscular junction disease with descending flaccid paralysis due to botulinum neurotoxins (bonts). it is caused by consumption of contaminated food containing bonts.",Subtype of disorder
3610,"foodborne botulism is the most common form of botulism (see this term), a rare acquired neuromuscular junction disease with descending flaccid paralysis due to botulinum neurotoxins (bonts). it is caused by consumption of contaminated food containing bonts.",Subtype of disorder
3614,"the myopathic form of carnitine palmitoyltransferase ii (cpt ii) deficiency, an inherited metabolic disorder that affects mitochondrial oxidation of long chain fatty acids (lcfa), is the most common and the least severe form of cpt ii deficiency (see this term).",Subtype of disorder
3615,"the severe infantile form of carnitine palmitoyltransferase ii (cpt ii) deficiency (see this term), an inherited disorder that affects mitochondrial oxidation of long chain fatty acids (lcfa), is the early-onset form of the disease.",Subtype of disorder
3616,"the neonatal form of carnitine palmitoyltransferase ii (cpt ii) deficiency (see this term), an inherited disorder that affects mitochondrial oxidation of long chain fatty acids (lcfa), is the lethal form of the disease which presents with multisystem failure.",Subtype of disorder
3617,"cold autoimmune hemolytic anemia comprises two types of autoimmune hemolytic anemia (aiha; see this term) defined by the presence of cold autoantibodies (autoantibodies which are active at temperatures below 30°c): cold agglutinin disease (cad), which is the more common, and paroxysmal cold hemoglobinuria (pch; see these terms).",Group of disorders
3618,"cold autoimmune hemolytic anemia comprises two types of autoimmune hemolytic anemia (aiha; see this term) defined by the presence of cold autoantibodies (autoantibodies which are active at temperatures below 30°c): cold agglutinin disease (cad), which is the more common, and paroxysmal cold hemoglobinuria (pch; see these terms).",Subtype of disorder
3629,overhydrated hereditary stomatocytosis (ohst) is a disorder of red cell membrane permeability to monovalent cations and is characterized clinically by hemolytic anemia.,Disorder
3653,pure autonomic failure (paf) is a neurodegenerative disease that affects the sympathetic branch of the autonomous nervous system and that manifests with orthostatic hypotension.,Disorder
3666,"mixed connective tissue disease (mctd) is a rare connective tissue disorder combining clinical features of systemic lupus erythematosus (sle), systemic sclerosis (ssc), polymyositis (pm) (see these terms) and/or rheumatoid arthritis (ra).",Disorder
3667,beta-thalassemias with other manifestations are a group of beta-thalassemias (see this term) associated with another disorder.,Disorder
3669,hemoglobin e - beta-thalassemia (hbe - bt) is a form of beta-thalassemia (see this term) that results in a mild to severe clinical presentation ranging from a condition indistinguishable from beta-thalassemia major to a mild form of beta-thalassemia intermedia (see these terms).,Disorder
3670,hemoglobin c - beta-thalassemia (hbc - bt) is a form of beta-thalassemia (see this term) resulting in moderate hemolytic anemia.,Disorder
3673,dominant beta-thalassemia is a form of beta-thalassemia (see this term) resulting in moderate to severe anemia.,Subtype of disorder
3676,"a benign lymphoproliferative disorder that may present as a localized or multicentric form. the clinical manifestations are heterogeneous, ranging from asymptomatic discrete lymphadenopathy to recurrent episodes of diffuse lymphadenopathy with severe systemic symptoms.",Disorder
3692,an increase in anti-hla antigens mostly seen in chronic renal failure (crf) patients that have undergone hemodialysis and polytransfusion.,Disorder
3693,an increase in anti-hla antigens mostly seen in chronic renal failure (crf) patients that have undergone hemodialysis and polytransfusion.,Subtype of disorder
3694,an increase in anti-hla antigens mostly seen in chronic renal failure (crf) patients that have undergone hemodialysis and polytransfusion.,Subtype of disorder
3695,an increase in anti-hla antigens mostly seen in chronic renal failure (crf) patients that have undergone hemodialysis and polytransfusion.,Subtype of disorder
3696,an increase in anti-hla antigens mostly seen in chronic renal failure (crf) patients that have undergone hemodialysis and polytransfusion.,Subtype of disorder
3697,an increase in anti-hla antigens mostly seen in chronic renal failure (crf) patients that have undergone hemodialysis and polytransfusion.,Subtype of disorder
3701,"balantidiasis is an infectious disease, rare in western countries. it is caused by <i>balantidium coli</i>, a single celled parasite (ciliate protozoan) that is usually associated with intestinal infection in areas associated with pig rearing. it infects humans occasionally, mostly immunocompromised patients. some infected people may have no symptoms or only mild diarrhea and abdominal discomfort but others may experience more severe symptoms reminiscent of an acute inflammation of the intestines. symptoms of balantidiasis may be similar to those of other infections that cause intestinal inflammation, for example, amoebic dysentery. on very rare occasions this bacterium may invade extra-intestinal organs, mostly the lungs. metronidazole is the treatment of choice.",Disorder
3726,a very rare surgically-correctable form of primary aldosteronism (pa) due to an aldosterone-secreting adrenal malignancy.,Disorder
3743,"isolated lissencephaly type 1 without known genetic defects belongs to the genetically heterogeneous group, classic lissencephaly (see this term). it is a diagnosis of exclusion, when neither associated malformations nor family history are present, and in the absence of mutations of genes known to be involved in classic lissencephaly. clinically patients present with the common features of classic lissencephaly such as developmental delay, intellectual disability, and seizures.",Disorder
3745,"x-linked lissencephaly with abnormal genitalia (xlag) is a rare, genetic, central nervous system malformation disorder characterized, in males, by lissencephaly (with posterior predominance and moderately thickened cortex), complete absence of corpus callosum, neonatal-onset (mainly perinatal) intractable seizures, postnatal microcephaly, severe hypotonia, poor responsiveness and hypogonadism (micropenis, hypospadias, cryptorchidism, small scrotal sac). defective temperature regulation and chronic diarrhea may be additionally observed.",Disorder
3746,"the 4q21 microdeletion syndrome is a newly described syndrome associated with facial dysmorphism, progressive growth restriction, severe intellectual deficit and absent or severely delayed speech.",Disorder
3752,"1q44 microdeletion syndrome is a newly described syndrome associated with facial dysmorphism, developmental delay, in particular of expressive speech, seizures and hypotonia.",Disorder
3753,"1q44 microdeletion syndrome is a newly described syndrome associated with facial dysmorphism, developmental delay, in particular of expressive speech, seizures and hypotonia.",Group of disorders
3754,"1q44 microdeletion syndrome is a newly described syndrome associated with facial dysmorphism, developmental delay, in particular of expressive speech, seizures and hypotonia.",Group of disorders
3757,"familial hypercholanemia is a very rare genetic disorder characterized clinically by elevated serum bile acid concentrations, itching, and fat malabsorption reported in patients of old order amish descent.",Disorder
3758,infantile dystonia-parkinsonism (ipd) is an extremely rare inherited neurological syndrome that presents in early infancy with hypokinetic parkinsonism and dystonia and that can be fatal.,Disorder
3759,"slc35a1-cdg is an extremely rare form of cdg syndrome (see this term) characterized clinically in the single reported case by repeated hemorrhagic incidents, including severe pulmonary hemorrhage.",Disorder
3760,17q23.1-q23.2 microduplication is a newly described cause of familial isolated clubfoot.,Subtype of disorder
3770,"sclerosing mesenteritis (sm) is a rare pathological disease causing inflammation of the adipose tissue of the small bowel mesentery and is commonly associated with abdominal pain, diarrhea, nausea, weight loss, bloating and loss of appetite. the two subforms include mesenteric panniculitis (where inflammation and fatty necrosis are dominant features) and retractile mesenteritis (where fibrosis and retraction dominate).",Subtype of disorder
3771,"sclerosing mesenteritis (sm) is a rare pathological disease causing inflammation of the adipose tissue of the small bowel mesentery and is commonly associated with abdominal pain, diarrhea, nausea, weight loss, bloating and loss of appetite. the two subforms include mesenteric panniculitis (where inflammation and fatty necrosis are dominant features) and retractile mesenteritis (where fibrosis and retraction dominate).",Disorder
3783,"an atypical variant of progressive supranuclear palsy (psp), a rare late-onset neurodegenerative disease, by prominent early parkinsonism (tremor, limb bradykinesia, axial and limb rigidity) rather than falls and cognitive change. over the years, patients ultimately develop clinical features characteristic of classical psp. neuropathological characteristics includes tau pathology and neuronal loss in specific brain areas, especially in the subthalamic nucleus and substantia nigra. the tau pathology is less severe than in classical psp.",Subtype of disorder
3791,"severe combined immunodeficiency due to complete rag1/2 deficiency is a rare, genetic t-b- severe combined immunodeficiency disorder due to null mutations in recombination activating gene (rag) 1 and/or rag2 resulting in less than 1% of wild type v(d)j recombination activity. patients present with neonatal onset of life-threatening, severe, recurrent infections by opportunistic fungal, viral and bacterial micro-organisms, as well as skin rashes, chronic diarrhea, failure to thrive and fever. immunologic observations include profound t- and b-cell lymphopenia, normal nk counts and low or absent serum immunoglobulins; some patients may have eosinophilia.",Disorder
3794,"a rare endocrine tumor of the appendix, seen twice as frequently in females than in males, and usually presenting before the fifth decade of life. it is usually asymptomatic when located in the tip of the appendix (without obstruction), but acute appendicitis is often associated.",Subtype of disorder
3795,"goblet cell carcinoma (gcc) is an aggressive type of endocrine tumor of the appendix (see this term) presenting equally in males and females in the fifth decade of life and manifesting with a palpable mass and abdominal pain or acute appendicitis. metastasis to the ovaries, peritoneum or right colon has usually already occurred in half of patients at the time of diagnosis.",Subtype of disorder
3796,"lead poisoning is defined as acute or chronic exposure to lead resulting in lead accumulation (blood lead concentration (blc) >5 ug/dl) that can affect every organ system in the body and to which children are more susceptible. clinical manifestations depend on the amount and duration of exposure and include abdominal pain, colic, constipation, lead line on gingival tissue, arthralgia, myalgia, peripheral neuropathy, fatigue, irritability, anemia, chronic nephropathy and hypertension. in children, even low levels of exposure (blc <5 ug/dl) is reported to lead to irreversible effects such as loss of cognition, shortening of attention span, alteration of behavior, dyslexia, attention deficit disorder, hypertension, renal impairment, immunotoxicity and toxicity to the reproductive organs.",Disorder
3797,"lead poisoning is defined as acute or chronic exposure to lead resulting in lead accumulation (blood lead concentration (blc) >5 ug/dl) that can affect every organ system in the body and to which children are more susceptible. clinical manifestations depend on the amount and duration of exposure and include abdominal pain, colic, constipation, lead line on gingival tissue, arthralgia, myalgia, peripheral neuropathy, fatigue, irritability, anemia, chronic nephropathy and hypertension. in children, even low levels of exposure (blc <5 ug/dl) is reported to lead to irreversible effects such as loss of cognition, shortening of attention span, alteration of behavior, dyslexia, attention deficit disorder, hypertension, renal impairment, immunotoxicity and toxicity to the reproductive organs.",Disorder
3800,"mercury poisoning is caused mainly through ingestion or inhalation of any of the 3 forms of mercury, elemental, organic, and inorganic. exposure to elemental mercury affects the pulmonary (inhalation of mercury vapors causes coughing, chills, fever, shortness of breath), dermatological (mild swelling, vesiculation, scaling, irritation, urticaria, erythema and allergic contact dermatitis accompanied by pain), and peripheral and central nervous (cns) systems (depression, paranoia, extreme irritability, hallucinations, inability to concentrate, memory loss, hands, head, lips, tongue, jaw and eyelids tremors, weight loss, perpetually low body temperature, drowsiness, headaches, insomnia, fatigue). exposure to inorganic mercury generally causes development of a metallic taste, local oropharyngeal pain, nausea, vomiting, bloody diarrhea, colic abdominal pain, renal dysfunction and, neurologic abnormalities; while that to organic mercury can lead to delayed neurotoxicity.",Disorder
3813,"transient neonatal multiple acyl-coa dehydrogenase deficiency describes a very rare condition where a maternal riboflavin deficiency causes an infant to present with manifestations similar to those seen in multiple acyl-coa dehydrogenase (mad) deficiency (see this term) such as poor suck, metabolic acidosis and hypoglycemia, but that resolves completely with oral riboflavin. in the one patient described haploinsufficiency of the human riboflavin transporter (hrft1) was described in the mother.",Disorder
3870,"invasive non-typhoidal salmonellosis is a rare, bacterial, infectious disease caused by extraintestinal infection of non-typhoidal serotypes of <i> salmonella enterica </i> in patients with underlying hiv infection, malaria or malignancy. it has a high mortality rate and patients typically present with fever, pallor and respiratory signs (cough, tachypnea, pneumonia). gastrointestinal manifestations (diarrhea, vomit, abdominal pain) are not common. occasionally, organ abscesses, septic shock and meningitis may be observed.",Disorder
3882,"pontocerebellar hypoplasia type 8 (pch8) is a novel very rare form of pontocerebellar hypoplasia (see this term) characterized clinically by progressive microencephaly, feeding difficulties, severe developmental delay, although walking may be achieved, hypotonia often associated with increased muscle tone of lower extremities and deep tendon reflexes, joint deformities in the lower extremities, and occasionally complex seizures. pch8 is caused by a loss-of-function mutation in the <i>chmp1a</i> gene. mri demonstrates a pontocerebellar hypoplasia with vermis and hemispheres equally affected and mild to severely reduced cerebral white matter volume with a fully formed very thin corpus callosum.",Disorder
3946,"encephalopathy-hypertrophic cardiomyopathy-renal tubular disease syndrome is a rare mitochondrial disease due to a defect in coenzyme q10 biosynthesis that manifests with a broad spectrum of signs and symptoms which may include: neonatal lactic acidosis, global developmental delay, tonus disorder, seizures, reduced spontaneous movements, ventricular hypertrophy, bradycardia, renal tubular dysfunction with massive lactic acid excretion in urine, severe biochemical defect of respiratory chain complexes ii/iii when assayed together and deficiency of coenzyme q10 in skeletal muscle. cerebral and cerebellar atrophy can be seen on magnetic resonance imaging and multiple choroid plexus cysts and symmetrical hyperechoic signal alterations in basal ganglia have been observed on ultrasound.",Disorder
3949,"primary lymphoma of the conjunctiva is an extremely rare clonal lymphoid proliferation of the ocular surface, with an indolent course. clinically it presents with treatment-resistant conjunctivitis, ptosis, excessive tear production or as a painless, salmon-pink, ''fleshy'' patch, with a smooth or multinodular surface, on the bulbar conjunctiva. histologically it is usually b-cell non-hodgkin lymphoma (most often extranodal marginal zone b-cell lymphoma, followed by follicular and diffuse large b-cell lymphoma), with conjunctival t-cell non-hodgkin lymphoma being very rare.",Disorder
3950,"primary lymphoma of the conjunctiva is an extremely rare clonal lymphoid proliferation of the ocular surface, with an indolent course. clinically it presents with treatment-resistant conjunctivitis, ptosis, excessive tear production or as a painless, salmon-pink, ''fleshy'' patch, with a smooth or multinodular surface, on the bulbar conjunctiva. histologically it is usually b-cell non-hodgkin lymphoma (most often extranodal marginal zone b-cell lymphoma, followed by follicular and diffuse large b-cell lymphoma), with conjunctival t-cell non-hodgkin lymphoma being very rare.",Disorder
3953,"a rare renal tumor arising from proximal tubular epithelial cells of the renal cortex, characterized histologically by malignant epithelial cells with typical clear cytoplasm in conventional staining methods due to a high glycogen and lipid content, featuring a nested growth pattern. clinically it may present with hematuria, flank pain, anemia or, less commonly, a palpable abdominal mass.",Disorder
3960,"mucinous tubular and spindle cell renal carcinoma is a rare subtype of renal cell carcinoma characterized, histologically, by tubular architecture and sheets of spindle cells embedded in a mucinous/myxoid stroma and, macroscopically, by a solid, generally well-circumscribed, partially encapsulated tumor of variable size, with a homogenously colored, bulging cut surface, occassionally containing areas of hemorrhage or necrosis, usually located in the cortex. patients can present abdominal/flank pain, adbominal mass and/or hematuria, however most are asymptomatic and tumor is discovered incidentally. indolent behavior is frequent and association with nephrolithiasis and end-stage kidney disease has been noted.",Disorder
3962,"multilocular cystic renal neoplasm of low malignant potential is a rare subtype of clear cell renal cell carcinoma with distinct pathological features of cysts lined by occasionally flattened cuboidal clear cells and septa containing aggregates of epithelial cells with clear cytoplasm, and excellent prognosis. the tumor usually presents as an asymptomatic, unilateral, solitary lesion, macroscopically consisting of numerous, fluid-filled, septated cysts of variable size. rarely, the symptoms typically associated with renal tumors (flank pain, hematuria, palpable mass) may be present.",Subtype of disorder
3963,"papillary renal cell carcinoma is a rare subtype of renal cell carcinoma, arising from the renal tubular epithelium and showing a papillary growth pattern, which typically manifests with hematuria, flank pain, palpable abdominal mass or nonspecific symptoms, such as fatigue, weight loss or fever. symptoms related to metastatic spread, such as bone pain or persistent cough, are frequently associated since early diagnosis is not common. it is typically multifocal, bilateral, and in most cases sporadic, although different hereditary syndromes, such as hereditary leiomyoma renal cell carcinoma, birt-hogg-dubé syndrome and tuberous sclerosis, may predispose to the development of papillary renal cell carcinoma.",Disorder
3964,"chromophobe renal cell carcinoma is a rare subtype of renal cell carcinoma, originating from the intercalating cells of the collecting ducts and macroscopically manifesting as a well-circumscribed, highly lobulated, solid tumor that is usually diagnosed at an early stage. it is frequently asymptomatic, or may present with nonspecific symptoms, such as weight loss, fever or fatigue. the classic presentation observed in renal tumors (hematuria, flank pain and palpable mass) is occasionally observed and usually indicates an advanced stage of the disease. it is most frequently sporadic however, several familial cases, associated with birt-hogg dubé syndrome, have been described.",Disorder
3965,"mit family translocation renal cell carcinoma (t-rcc) is a rare subtype of renal cell carcinoma with recurrent genetic abnormalities, harboring rearrangements of the <i>tfe3</i> (xp11 t-rcc) or <i>tfeb</i> [t(6;11) t-rcc] genes. the t(6;11) t-rcc has distinctive histologic features of biphasic appearance with larger epitheloid and smaller eosinophilic cells. the symptoms are usually non-specific and include hematuria, flank pain, palpable abdominal mass and/or systemic symptoms of anemia, fatigue and fever.",Disorder
4012,"primary bone lymphoma is a rare lymphoid hemopathy defined as single or multiple tumors in the bone, not associated with infringement or violation of other extranodal malignant lymph nodes outside the area. it usually presents with bone pain, nerve compression, a palpable mass or fracture, while systemic features (fever, night sweats, fatigue, loss of appetite, weight loss) are not common.",Disorder
4036,"primary dystonia, dyt17 type is a rare, genetic, isolated dystonia initially presenting as torticollis, and later progressing to segmental or generalized dystonia. dysphonia and dysarthria also occur later in the disease course.",Disorder
4039,"small cell carcinoma of the ovary is a rare, highly aggressive, poorly differentiated ovarian neoplasm, often associated with paraneoplastic hypercalcemia. it is usually diagnosed in childhood or young adulthood at an advanced stage and presents with abdominal or pelvic mass or, rarely, symptoms related to hypercalcemia. occasional familial cases have been reported.",Disorder
4041,"extraskeletal ewing sarcoma is a rare, poorly differentiated, highly malignant, soft tissue tumor, derived from neuroectoderm, that is morphologically indistinguishable from skeletal ewing sarcoma but is located in extraosseous locations, with the most common being: chest wall, paravertebral region, abdominopelvic area (with predilection for the retroperitoneal space), gluteal region and lower extremities. clinical presentation is highly variable and depends on tumor localization. local recurrence is common and metastatic disease most frequently involves the bones and lungs.",Disorder
4105,"non-immune hydrops fetalis (nihf), a form of hf, is a severe fetal condition defined as the excessive accumulation of fetal fluid within the fetal extravascular compartments and body cavities, and is the end-stage of a wide variety of disorders.",Subtype of disorder
4107,"immune hydrops fetalis (ihf), a form of hf, describes the excessive accumulation of fetal fluid within the fetal extravascular compartments and body cavities due to maternal rhesus (rh) incompatibility.",Subtype of disorder
4154,"a form of testicular germ cell tumor occurring in the third decade of life with a usually painless unilateral mass in the scrotum or, in some cases, with gynaecomastia and/or back and flack pain. the clinical course is more aggressive than testicular seminomatous germ cell tumors with rapid involvement of blood vessels and a poorer prognosis. histologically, the tumour can be either undifferentiated (embryonal carcinoma), differentiated (teratoma, yolk sac tumor, choriocarcinoma), or can consist of a mixture of seminomatous and nonseminomatous components.",Disorder
4162,"a group of rare tumors of testis comprising neoplasms of pure sex cord or pure stromal type, or neoplasms with admixtures of both components in various proportions and degree of differentiation. the tumors usually present as a painless testicular mass, although some may be associated with endocrine manifestations such as precocious puberty, gynecomastia, or erectile dysfunction. malignant behavior is seen only in a small percentage of these tumors.",Disorder
4185,venous thoracic outlet syndrome (vtos) is a form of thoracic outlet syndrome (tos; see this term) that manifests as unilateral (rarely bilateral) arm pain and cyanosis.,Subtype of disorder
4186,a form of thoracic outlet syndrome that presents as unilateral upper extremity ischemia.,Subtype of disorder
4194,"a partial autosomal monosomy characterized clinically by lethal pulmonary disease that presents as severe respiratory distress and refractory pulmonary hypertension within a few hours after birth and typically results in death from respiratory failure within the first months of life. characteristic histological features of lung tissue include paucity of alveolar wall capillaries, alveolar wall thickening, muscular hypertrophy of the pulmonary arteries, and malposition of the small pulmonary veins. various additional congenital malformations may be associated, mostly gastrointestinal (intestinal malrotation and atresias, anular pancreas), genitourinary (dilatation of urinary tracts, duplicated uterus) and cardiovascular anomalies (hypoplastic left heart and other congenital heart defects).",Disorder
4195,"a partial autosomal monosomy characterized clinically by lethal pulmonary disease that presents as severe respiratory distress and refractory pulmonary hypertension within a few hours after birth and typically results in death from respiratory failure within the first months of life. characteristic histological features of lung tissue include paucity of alveolar wall capillaries, alveolar wall thickening, muscular hypertrophy of the pulmonary arteries, and malposition of the small pulmonary veins. various additional congenital malformations may be associated, mostly gastrointestinal (intestinal malrotation and atresias, anular pancreas), genitourinary (dilatation of urinary tracts, duplicated uterus) and cardiovascular anomalies (hypoplastic left heart and other congenital heart defects).",Disorder
4228,"a rare, genetic immuno-osseous dysplasia associated with pre- and post-natal growth retardation, retinopathy, microcephaly, intellectual disability and dysmorphic features.",Disorder
4229,"a rare, genetic immuno-osseous dysplasia associated with pre- and post-natal growth retardation, retinopathy, microcephaly, intellectual disability and dysmorphic features.",Subtype of disorder
4230,"a rare, genetic immuno-osseous dysplasia associated with pre- and post-natal growth retardation, retinopathy, microcephaly, intellectual disability and dysmorphic features.",Subtype of disorder
4262,"a rare, autosomal dominant, eye disorder representing a constellation of inherited ocular findings, including early-onset or congenital cataracts, corneal stromal thinning, early-onset keratoconus, corneal endothelial dystrophy, and iris hypoplasia.",Disorder
4271,"mitf-related melanoma and renal cell carcinoma predisposition syndrome is an inherited cancer-predisposing syndrome due to a gain-of-function germline mutation in the mitf gene, associated with a higher incidence of amelanotic and nodular melanoma, multiple primary melanomas and increase in nevus number and size. it may also predispose to co-occurring melanoma and renal cell carcinoma and to pancreatic cancer.",Disorder
4274,"ketamine-induced biliary dilatation is an acquired biliary tract disease caused by the abusive consumption of ketamine, which results in the fusiform dilatation of the common bile ducts (cbd) without obstructive lesions or dilatation of the intrahepatic biliary ducts. possible manifestations of the underlying cholangiopathy include epigastric pain and impaired liver function. severity of cbd dilatation appears to correlate with the duration of ketamine consumption and the condition has been reported to be reversible in abstinent patients.",Disorder
4342,a rare form of glycine encephalopathy presenting disease onset or clinical manifestations that differ from neonatal or infantile glycine encephalopathy.,Subtype of disorder
4344,"lymphoepithelial-like carcinoma is a rare, malignant epithelial tumor, composed of undifferentiated epithelial cells with dense lymphoid stroma, mimicking lymphoepithelioma. it often shows association with epstein-barr virus infection and can develop in various organs, such as the nasopharynx, stomach, skin, breast and lungs, among others. the presenting symptoms, as well as the radiologic features, are usually nonspecific and depend on the affected site and organ.",Disorder
4353,"multiple mitochondrial dysfunctions syndrome describes a group of rare inborn errors of energy metabolism due to defects in mitochondrial [4fe-4s] protein assembly. patients present with a neonatal/infancy onset of metabolic lactic acidosis (that may be associated with hyperglycinemia and other abnormal metabolic testing results), muscular hypotonia, absence of psychomotor development or developmental regression, as well as abnormal neuroimaging findings (including leukodystrophy, brain developmental defects, white matter abnormalities, cerebral atrophy), and other variable clinical features (e.g., optic atrophy, cardiomyopathy, pulmonary hypertension, seizures, and dysmorphic features). early fatal outcome is usual.",Group of disorders
4357,"bap1-related tumor predisposition syndrome (tpds) is an inherited cancer-predisposing syndrome, associated with germline mutations in bap1 tumor suppressor gene. the most commonly observed cancer types include uveal melanoma, malignant mesothelioma, renal cell carcinoma, lung, ovarian, pancreatic, breast cancer and meningioma, with variable age of onset. common cutaneous manifestations include malignant melanoma, basal cell carcinoma and benign melanocytic bap1-mutated atypical intradermal tumors (mbait) presenting as multiple skin-coloured to reddish-brown dome-shaped to pedunculated, well-circumscribed papules with an average size of 5 mm, histologically predominantly composed of epithelioid melanocytes with abundant amphophilic cytoplasm, prominent nucleoli and large, vesicular nuclei that vary substantially in size and shape.",Disorder
4359,"juvenile nasopharyngeal angiofibroma (jna) is a rare and benign but locally aggressive fibrovascular tumor arising from the posterolateral wall of the nasopharynx, which affects mainly young and adolescent males (onset usually occurring between 7-19 years of age) and that presents as a mass in the nasopharynx and nasal cavity, leading to manifestations such as nasal obstruction, epistaxis, profound facial swelling, proptosis or diplopia. although slowly progressive, it has a high rate of recurrence and sometimes invades adjacent structures.",Disorder
4378,a rare genetic disease that belongs to the group of extreme insulin-resistance syndromes and is due to autoantibodies directed against insulin receptor.,Disorder
4379,a rare genetic disease that belongs to the group of extreme insulin-resistance syndromes and is due to autoantibodies directed against insulin receptor.,Group of disorders
4386,"a rare disease caused by compression of the celiac axis by an abnormally shaped arcuate ligament (the part of the diaphragm in which both pillars join in the midline around the aorta). patients have recurrent abdominal pain, anorexia and weight loss. the pain is epigastric, and diarrhea or constipation may be present as well. onset of pain will usually, although not always, be after food intake, and may be associated with nausea and emesis. other symptoms may include lassitude, exercise intolerance and vomiting. occasionally, a patient may show an abdominal murmur upon auscultation.",Disorder
4387,"a form of filariasis, distributed throughout sub-saharan africa as well as in some locations of central and south america and the caribbean, caused by the parasitic worms <i>mansonella perstans</i> and <i>mansonella ozzardi</i>. the disease is often asymptomatic but may also cause fever, vertigo, myalgias, arthralgias and a sensation of coldness in the legs. additional features include neuropsychiatric symptoms, skin rash, pruritus, nodules containing adult worms (in the conjunctiva or eyelids), lymphadenopathy, recurrent lymphedema in the limbs and face (resembling the calabar swellings of loasis), severe abdominal pain and endocrine disturbances.",Disorder
4388,"loiasis is a form of filariasis (see this term), caused by the parasitic worm <i>loa loa</i>, endemic to the forest and savannah regions of central and western africa. loiasis may either be asymptomatic or manifest as a large, transient area of localized, non-erythematous subcutaneous edema (calabar swellings), adult worm migration through the sub-conjunctiva (''african eye worm'') and pruritus. generalized itching, hives, muscle pains, arthralgias, fatigue, and adult worms visibly migrating under the surface of the skin may be observed. severe complications such as encephalopathy have been reported in highly infected individuals receiving ivermectin during mass drug administration programs for the control of onchocerciasis and lymphatic filariasis (see these terms).",Disorder
4390,"a disorder with extraparenchymal cysts, intra-arachnoidal collections of fluid, the composition of which is close to that of cerebrospinal fluid. they are often asymptomatic.",Disorder
4391,"a rare inflammatory multisystem disorder characterized clinically by four cardinal signs: fever of unknown origin, arthralgia or arthritis, hyperleucocytosis, and typical skin rash.",Disorder
4398,"non-rhizomelic chondrodysplasia punctata is a form of chondrodysplasia punctata (see this term), a group of diseases in which the common characteristic is bone calcifications near joints from birth. non-rhizomelic chondrodysplasia punctata is not an entity in itself but covers several diseases with variable clinical findings and modes of transmission.",Group of disorders
4400,"lymphatic filariasis (lf) is a severe form of filariasis (see this term), caused by the parasitic worms <i>wuchereria bancrofti</i>, <i>brugia malayi</i> and <i>brugia timori</i>, and the most common cause of acquired lymphedema worldwide. lf is endemic to tropical and subtropical regions. the vast majority of infected patients are asymptomatic but it can also cause a variety of clinical manifestations, including limb lymphedema, genital anomalies (hydrocele, chylocele), elephantiasis in later stages of the disease (frequently in the lower extremities), and tropical pulmonary eosinophilia (nocturnal paroxysmal cough and wheezing, weight loss, low-grade fever, adenopathy, and pronounced blood eosinophilia). renal involvement (hematuria, proteinuria, nephritic syndrome, glomerulonephritis), and mono-arthritis of the knee or ankle joint have also been reported.",Disorder
4401,"lymphatic filariasis (lf) is a severe form of filariasis (see this term), caused by the parasitic worms <i>wuchereria bancrofti</i>, <i>brugia malayi</i> and <i>brugia timori</i>, and the most common cause of acquired lymphedema worldwide. lf is endemic to tropical and subtropical regions. the vast majority of infected patients are asymptomatic but it can also cause a variety of clinical manifestations, including limb lymphedema, genital anomalies (hydrocele, chylocele), elephantiasis in later stages of the disease (frequently in the lower extremities), and tropical pulmonary eosinophilia (nocturnal paroxysmal cough and wheezing, weight loss, low-grade fever, adenopathy, and pronounced blood eosinophilia). renal involvement (hematuria, proteinuria, nephritic syndrome, glomerulonephritis), and mono-arthritis of the knee or ankle joint have also been reported.",Disorder
4402,"lymphatic filariasis (lf) is a severe form of filariasis (see this term), caused by the parasitic worms <i>wuchereria bancrofti</i>, <i>brugia malayi</i> and <i>brugia timori</i>, and the most common cause of acquired lymphedema worldwide. lf is endemic to tropical and subtropical regions. the vast majority of infected patients are asymptomatic but it can also cause a variety of clinical manifestations, including limb lymphedema, genital anomalies (hydrocele, chylocele), elephantiasis in later stages of the disease (frequently in the lower extremities), and tropical pulmonary eosinophilia (nocturnal paroxysmal cough and wheezing, weight loss, low-grade fever, adenopathy, and pronounced blood eosinophilia). renal involvement (hematuria, proteinuria, nephritic syndrome, glomerulonephritis), and mono-arthritis of the knee or ankle joint have also been reported.",Group of disorders
