OrphaCode,Name,DisorderType,ClassificationLevel,Definition
369962,"Methylmalonic acidemia with homocystinuria, type cblX",Clinical subtype,Subtype of disorder,"Microcornea-myopic chorioretinal atrophy-telecanthus syndrome is rare, genetic, developmental defect of the eye disease characterized by childhood onset of mild to severe myopia with microcornea and chorioretinal atrophy, typically associated with telecanthus and posteriorly rotated ears. Other variable features include early-onset cataracts, ectopia lentis, ecotpia pupilae and retinal detachment."
369979,Finger hyperphalangy-toe anomalies-severe pectus excavatum syndrome,Malformation syndrome,Disorder,"Finger hyperphalangy-toe anomalies-severe pectus excavatum syndrome is a rare, genetic, congenital limb malformation syndrome characterized by bilateral short broad thumbs, short deviated index fingers, clinodactyly of the fifth fingers, broad, valgus-deviated halluces and laterally-deviated, overlapping second toe, associated with severe pectus excavatum and craniofacial dysmorphism (including brachycephaly, low anterior hairline, flat supraorbital ridges, telecanthus, upslanting palpebral fissures, maxillary hypoplasia, posteriorly rotated ears, microsomia and micrognathia). Radiological findings include thumb, index, and middle finger hyperphalangy, with severe delta phalanxes in affected fingers and halluces."
369992,Severe dermatitis-multiple allergies-metabolic wasting syndrome,Disease,Disorder,"Severe dermatitis-multiple allergies-metabolic wasting syndrome is a rare, genetic, epidermal disorder characterized by congenital erythroderma with severe psoriasiform dermatitis, ichthyosis, severe palmoplantar keratoderma, yellow keratosis on the hands and feet, elevated immunoglobulin E, multiple food allergies, and metabolic wasting. Other variable features may include hypotrichosis, nail dystrophy, recurrent infections, mild global developmental delay, eosinophillia, nystagmus, growth impairment and cardiac defects."
370002,Focal palmoplantar keratoderma with joint keratoses,Disease,Disorder,"Focal palmoplantar keratoderma with joint keratoses is a rare, genetic, isolated palmoplantar keratoderma disorder characterized by focal hyperkeratotic lesions affecting the pressure- and mechanical trauma-bearing areas of the palms and soles, as well as hyperkeratotic plaques involving joints, including knees, elbows, ankles and dorsa of interphalangeal joints."
369999,Diffuse palmoplantar keratoderma with painful fissures,Disease,Disorder,"Diffuse palmoplantar keratoderma with painful fissures is a rare, genetic, isolated palmoplantar keratoderma disorder characterized by non-epidermolytic, diffuse hyperkeratotic lesions affecting both the palms and the soles, associated with a tendency of painful fissuring. Contrary to the clinical findings, histologic examination reveals findings suggestive of keratosis palmoplantaris striata, with orthohyperkeratosis featuring widening of the intercellular spaces and disadhesion of keratocytes in the upper epidermal layers."
370010,Intellectual disability-facial dysmorphism-hand anomalies syndrome,Malformation syndrome,Disorder,"Intellectual disability-facial dysmorphism-hand anomalies syndrome is a rare syndromic intellectual disability disorder characterized by moderate intellectual disability, variable hand abnormalities (including brachydactyly, cutaneous and osseous syndactyly), and facial dysmorphism that includes short palpebral fissures, bulbous nasal tip, thin upper and lower vermilion and broad, pointed chin. Other features, including obesity, microcephaly, short stature and a grimacing smile may be observed."
370006,Hypothalamic insufficiency-secondary microcephaly-visual impairment-urinary anomalies syndrome,Malformation syndrome,Disorder,"Intellectual disability-facial dysmorphism-hand anomalies syndrome is a rare syndromic intellectual disability disorder characterized by moderate intellectual disability, variable hand abnormalities (including brachydactyly, cutaneous and osseous syndactyly), and facial dysmorphism that includes short palpebral fissures, bulbous nasal tip, thin upper and lower vermilion and broad, pointed chin. Other features, including obesity, microcephaly, short stature and a grimacing smile may be observed."
369837,Intellectual disability-seizures-hypophosphatasia-ophthalmic-skeletal anomalies syndrome,Malformation syndrome,Disorder,"A rare congenital disorder of glycosylation characterized by neonatal hypotonia, global development delay, developmental regress and severe to profound intellectual disability, infantile onset seizures that are initially associated with febrile episodes with subsequent transition to unprovoked seizures, impaired vision with esotropia and nystagmus, progressive cerebral and cerebellar atrophy, skeletal abnormalities (including brachycephaly, scoliosis, slender long bones, delayed bone age, pectus excavatum and osteopenia), inverted nipples and dysmorphic features including high and narrow forehead, frontal bossing, short nose, depressed nasal bridge, anteverted nares, high palate and wide open mouth consistent with facial hypotonia. Other features may include cardiac abnormalities (such as patent ductus arteriosus, atrial septal defects), urogenital abnormalities (such as nephrocalcinosis, urolithiasis), and low plasma concentration of alkaline phosphatase."
369840,TRAPPC11-related limb-girdle muscular dystrophy R18,Disease,Disorder,"A form of limb-girdle muscular dystrophy characterized by childhood-onset of progressive proximal muscle weakness (leading to reduced ambulation) with myalgia and fatigue, in addition to infantile hyperkinetic movements, truncal ataxia, and intellectual disability. Additional manifestations include scoliosis, hip dysplasia, and less commonly, ocular features (e.g. myopia, cataract) and seizures."
369847,Intellectual disability-hyperkinetic movement-truncal ataxia syndrome,Disease,Disorder,"A rare, genetic, syndromic intellectual disability disease characterized by global developmental delay, microcephaly, mild to moderate intellectual disability, truncal ataxia, trunk and limb, or generalized, choreiform movements, and elevated serum creatine kinase levels. Variably associated features include mild cerebral atrophy, muscular weakness or hypotonia in early childhood, and/or seizures. Ocular abnormalities (e.g. exophoria, anisometropia, amblyopia) have been reported."
369852,Congenital neutropenia-myelofibrosis-nephromegaly syndrome,Disease,Disorder,"Congenital neutropenia-myelofibrosis-nephromegaly syndrome is rare, genetic, primary immunodeficiency disorder characterized by severe congenital neutropenia, bone marrow fibrosis and neutrophil dysfunction which is refractory to granulocyte colony-stimulating factor, manifesting with life-threatening infections and/or deep-seated abscesses, hepato-/splenomegaly, thrombocytopenia, hypergammaglobulinemia, anemia with reticulocytosis and nephromegaly. Other reported features include osteosclerosis and neurological abnormalities (e.g. developmental delay, cortical blindness, hearing loss, thin corpus callosum or dysrhythmia on EEG)."
369861,Congenital sideroblastic anemia-B-cell immunodeficiency-periodic fever-developmental delay syndrome,Disease,Disorder,"A form of constitutional sideroblastic anemia characterized by severe microcytic anemia, B-cell lymphopenia , panhypogammaglobulinemia and variable neurodegeneration. The disease presents in infancy with recurrent febrile illnesses, gastrointestinal disturbances, developmental delay, seizures, ataxia and sensorineural deafness."
369867,Autosomal recessive intermediate Charcot-Marie-Tooth disease type C,Disease,Disorder,"A rare subtype of autosomal recessive intermediate Charcot-Marie-Tooth (CMT) disease characterized by childhood to adulthood-onset of progressive, moderate to severe, predominantly distal, mostly lower limb muscle weakness and atrophy, foot deformities (including pes cavus and hammer toes), absent deep tendon reflexes and distal sensory loss associated with decreased motor and sensory nerve conduction velocities and features of both demyelinating and axonal neuropathy on sural nerve biopsy."
369873,Obesity due to SIM1 deficiency,Etiological subtype,Subtype of disorder,"A rare, genetic form of obesity characterized by severe early-onset obesity, hyperphagia, and variable presence of cognitive impairment and behavioral disorder, including autistic spectrum behavior, impaired concentration and memory deficit. Some patients present with Prader-Willi-like features such as hypotonia, developmental delay, intellectual disability, short stature, hypopituitarism and dysmorphic facial features."
369881,2p21 microdeletion syndrome without cystinuria,Malformation syndrome,Disorder,"2p21 microdeletion syndrome without cystinuria is a rare partial autosomal monosomy characterized by weak fetal movements, severe infantile hypotonia and feeding difficulties that spontaneously improve with time, urogenital abnormalities (hypospadias or hypoplastic labia majora), global development delay, mild intellectual disability and facial dysmorphism (dolichocephaly, frontal bossing, bilateral ptosis, midface retrusion, open mouth with tented upper lip vermilion). Affected individuals have borderline elevated serum lactate but no cystinuria."
369886,Homozygous 2p21 microdeletion syndrome,Clinical group,Group of disorders,"2p21 microdeletion syndrome without cystinuria is a rare partial autosomal monosomy characterized by weak fetal movements, severe infantile hypotonia and feeding difficulties that spontaneously improve with time, urogenital abnormalities (hypospadias or hypoplastic labia majora), global development delay, mild intellectual disability and facial dysmorphism (dolichocephaly, frontal bossing, bilateral ptosis, midface retrusion, open mouth with tented upper lip vermilion). Affected individuals have borderline elevated serum lactate but no cystinuria."
369891,Developmental delay-facial dysmorphism syndrome due to MED13L deficiency,Malformation syndrome,Disorder,"A rare, genetic syndromic intellectual disability characterized by developmental delay, mild to severe intellectual disability, facial features (bulbous nasal tip, and macroglossia, macrostomia, or open mouth appearance) and a wide spectrum of other nonspecific variable clinical features."
369894,OBSOLETE: Early infantile epileptic encephalopathy without suppression burst,Disease,Disorder,"A rare, genetic syndromic intellectual disability characterized by developmental delay, mild to severe intellectual disability, facial features (bulbous nasal tip, and macroglossia, macrostomia, or open mouth appearance) and a wide spectrum of other nonspecific variable clinical features."
369897,"Mitochondrial DNA depletion syndrome, encephalomyopathic form with variable craniofacial anomalies",Disease,Disorder,"A rare mitochondrial DNA depletion syndrome characterized by congenital or early-onset lactic acidosis, hypotonia, and severe global developmental delay with feeding difficulties and failure to thrive. It is frequently associated with variable dysmorphic facial features. Additional manifestations include seizures, movement disorders, and cardiac and ophthalmologic anomalies, among others. Brain imaging may show generalized atrophy and white matter abnormalities."
369902,OBSOLETE: DDX59-related orofaciodigital syndrome,Malformation syndrome,Disorder,"A rare mitochondrial DNA depletion syndrome characterized by congenital or early-onset lactic acidosis, hypotonia, and severe global developmental delay with feeding difficulties and failure to thrive. It is frequently associated with variable dysmorphic facial features. Additional manifestations include seizures, movement disorders, and cardiac and ophthalmologic anomalies, among others. Brain imaging may show generalized atrophy and white matter abnormalities."
369913,Combined oxidative phosphorylation defect type 17,Disease,Disorder,"Combined oxidative phosphorylation defect type 17 is a rare, genetic, mitochondrial disorder due to a defect in mitochondrial protein synthesis characterized by infantile-onset of severe hypertrophic cardiomyopathy (that occasionally progresses to dilated cardiomyopathy) associated with failure to thrive, global development delay, muscular hypotonia, elevated serum lactate and complex I deficiency in skeletal muscle biopsy. Intellectual disability, pericardial effusion and a mild cardiac phenotype have been also reported."
364063,Infantile epileptic-dyskinetic encephalopathy,Disease,Disorder,"A monogenic disease with epilepsy characterized by developmental delay and infantile spasms in the first months of life, followed by chorea and generalized dystonia and progressing to quadriplegic dyskinesia, recurrent status dystonicus, intractable focal epilepsy and severe intellectual disability."
364055,Severe early-childhood-onset retinal dystrophy,Disease,Disorder,"Severe early childhood onset retinal dystrophy (SECORD) is an inherited retinal dystrophy characterized by a severe congenital night blindness, progressive retinal dystrophy and nystagmus. Best corrected visual acuity can reach 0.3 in the first decade of life and can pertain well into the second decade of life. Blindness is often complete by the age of 30 years."
364039,Hydroa vacciniforme-like lymphoma,Disease,Disorder,"A very rare Epstein-Barr virus-associated lymphoproliferative disorder characterized by a chronic, recurrent, vesiculopapular rash, which subsequently ulcerates and scars, located mainly on sun-exposed areas and which is associated with systemic manifestations, such as fever, weight loss, asthenia, facial edema, arthralgia, lymphadenopathy, hepatosplenomegaly and/or increased liver enzymes. Hypersensitivity to mosquito bites has been associated and an increased risk of developing systemic lymphoma has been reported."
364043,ALK-positive large B-cell lymphoma,Disease,Disorder,"A very rare variant of diffuse large B-cell lymphoma (DLBCL) mainly affecting middle-aged immunocompetent men and characterized by a consistent primary involvement of lymph nodes (mainly in the cervical and mediastinum lymph nodes) and with infrequent extra nodal involvement of the bone marrow and other extra-nodal sites (head and neck region, liver, spleen, and gastrointestinal tract). It has an aggressive disease course, and is associated with a poor prognosis."
364028,X-linked intellectual disability due to GRIA3 mutations,Disease,Disorder,"A rare, genetic, X-linked syndromic intellectual disability disorder characterized by moderate to severe intellectual disability associated with epilepsy, short stature, autistic features and behavioral problems, such as self injury and aggressive outbursts. Observed facial dysmorphism includes brachycephaly, prominent supraorbital ridges, and deep set eyes. Additional variable manifestations include malposition of feet, asthenic habitus, hyporeflexia, bowel occlusions, hydronephrosis, ren arcuatus, delayed motor development and disturbed sleep-wake cycle."
364033,Systemic Epstein-Barr virus-positive T-cell lymphoproliferative disease of childhood,Disease,Disorder,"A rare and very aggressive neoplastic disease emerging after a primary acute or chronic active EBV infection. It presents with persisting fever and malaise, hepatosplenomegaly with or without lymphadenopathy, liver failure, severe pancytopenia and a rapid progression towards multi-organ failure and hemophagocytic syndrome with a fatal issue. It is characterized by clonal proliferation of EBV-infected T cells with an activated cytotoxic phenotype."
772,Infantile Refsum disease,Disease,Disorder,"Infantile Refsum disease (IRD) is the mildest variant of the peroxisome biogenesis disorders, Zellweger syndrome spectrum (PBD- ZSS; see this term), characterized by hypotonia, retinitis pigmentosa, developmental delay, sensorineural hearing loss and liver dysfunction. Phenotypic overlap is seen between IRD and neonatal adrenoleukodystrophy (NALD) (see this term)."
1194,TMEM70-related mitochondrial encephalo-cardio-myopathy,Disease,Disorder,"Mitochondrial encephalo-cardio-myopathy due to <i>TMEM70</i> mutation is characterized by early neonatal onset of hypotonia, hypetrophic cardiomyopathy and apneic spells within hours after birth accompanied by lactic acidosis, hyperammonemia and 3-methylglutaconic aciduria."
363999,Non-immune hydrops fetalis,Clinical subtype,Subtype of disorder,"Non-immune hydrops fetalis (NIHF), a form of HF, is a severe fetal condition defined as the excessive accumulation of fetal fluid within the fetal extravascular compartments and body cavities, and is the end-stage of a wide variety of disorders."
1048,Isolated anencephaly/exencephaly,Morphological anomaly,Disorder,"A neural tube defect. This malformation is characterized by the total or partial absence of the cranial vault and the covering skin, the brain being missing or reduced to a small mass. Most cases are stillborn, although some infants have been reported to survive for a few hours or even a few days."
364013,Immune hydrops fetalis,Clinical subtype,Subtype of disorder,"Immune hydrops fetalis (IHF), a form of HF, describes the excessive accumulation of fetal fluid within the fetal extravascular compartments and body cavities due to maternal rhesus (Rh) incompatibility."
363989,Familial benign flecked retina,Disease,Disorder,"Familial benign flecked retina is a rare retinal dystrophy characterized by diffuse bilateral white-yellow fleck-like lessions extending to the far periphery of the retina but sparing the foveal region, with asymptomatic clinical phenotype and absence of electrophysiologic deficits."
823,Isolated spina bifida,Clinical group,Group of disorders,"A group of rare neural tube defect disorders characterized by improper closure of the spinal column during embryonal development, not associated with other major congenital malformations nor ventriculomegaly. The extent of the closure defect may vary, ranging from spina bifida occulta, in which the site of the lesion is not exposed (e.g. an isolated posterior vertebral arch defect), to spina bifida aperta, in which the lesion may be conformed of proturding spinal cord and meninges (myelomeningocele) or meninges exposure only (meningocele), with or without a proturding sac at the site of the lesion, to the most severe defect which includes total exposure of the spinal cord along its full length (rachischisis). Depending on the type, size and site of the defect, severe morbidity, typically inlcuding motor, sensory and sphincter dysfunction, and mortality may be associated. Spina bifida occulta may be asymptomatic."
363992,Ichthyosis-short stature-brachydactyly-microspherophakia syndrome,Disease,Disorder,"A rare, syndromic ichthyosis characterized by a collodion membrane at birth, generalized congenital ichthyosis, microspherophakia, myopia, ectopia lentis, short stature with brachydactyly and joint stiffness, and occasionally mitral valve dysplasia."
363976,Giant cell tumor of bone,Disease,Disorder,"A rare bone sarcoma characterized by a usually benign space-occupying lesion, which is nevertheless locally aggressive and massively damaging to surrounding bone tissue. The tumor is composed of giant multinucleated cells (osteoclast-like cells), mononuclear macrophages, and mononuclear stromal cells which secrete pro-myeloid and pro-osteoclastic factors. Metastasis and malignant transformation are rare, but the recurrence rate is high."
363981,Charcot-Marie-Tooth disease type 4B3,Disease,Disorder,"Charcot-Marie-Tooth disease type 4B3 (CMT4B3) is a subtype of Charcot-Marie-Tooth type 4 characterized by a childhood onset of slowly progressing, demyelinating sensorimotor neuropathy, focally folded myelin sheaths in nerve biopsy, reduced nerve conduction velocities (less than 38 m/s), and the typical CMT phenotype (i.e. distal muscle weakness and atrophy, and sensory loss)."
363969,Autosomal recessive cerebral atrophy,Disease,Disorder,"A rare, genetic, neurodegenerative disorder characterized by ventriculomegaly and progressive, symmetrical atrophy of the cerebral cortex grey and white matter (sparing the midbrain, brainstem, cerebellum and infratentorial segments), manifesting in early infancy with acquired microcephaly, irritability, regression of developmental milestones, feeding difficulties, akathisia, exaggerated startle response, spasticity (fisted hands, stiff arms, leg scissoring), abnormal muscle tone with hypotonic trunk and hypertonic extremities, visual impairment and seizures."
363972,Noonan syndrome-like disorder with juvenile myelomonocytic leukemia,Malformation syndrome,Disorder,"A rare, genetic, polymalformative syndrome characterized by a Noonan-like phenotype associated with increased risk of developing juvenile myelomonocytic leukemia (JMML). The Noonan-like (NS) phenotype includes dysmorphic facial features (i.e. high forehead, hypertelorism, downslanting palpebral fissures, ptosis, low-set ears, prominent philtrum and short neck with or without pterygium colli), developmental delay, hypotonia and small head circumference. It can be associated with congenital heart defects or cardiomyopathy, ectodermal anomalies, and short stature. The NS phenotype is subtle or even inapparent in a large proportion of subjects, but may occasionally be severe. Leukemia can be the only clinical manifestation of the syndrome."
363965,Koolen-De Vries syndrome due to a point mutation,Etiological subtype,Subtype of disorder,"A rare, genetic, polymalformative syndrome characterized by a Noonan-like phenotype associated with increased risk of developing juvenile myelomonocytic leukemia (JMML). The Noonan-like (NS) phenotype includes dysmorphic facial features (i.e. high forehead, hypertelorism, downslanting palpebral fissures, ptosis, low-set ears, prominent philtrum and short neck with or without pterygium colli), developmental delay, hypotonia and small head circumference. It can be associated with congenital heart defects or cardiomyopathy, ectodermal anomalies, and short stature. The NS phenotype is subtle or even inapparent in a large proportion of subjects, but may occasionally be severe. Leukemia can be the only clinical manifestation of the syndrome."
363958,17q21.31 microdeletion syndrome,Etiological subtype,Subtype of disorder,"A rare, genetic, polymalformative syndrome characterized by a Noonan-like phenotype associated with increased risk of developing juvenile myelomonocytic leukemia (JMML). The Noonan-like (NS) phenotype includes dysmorphic facial features (i.e. high forehead, hypertelorism, downslanting palpebral fissures, ptosis, low-set ears, prominent philtrum and short neck with or without pterygium colli), developmental delay, hypotonia and small head circumference. It can be associated with congenital heart defects or cardiomyopathy, ectodermal anomalies, and short stature. The NS phenotype is subtle or even inapparent in a large proportion of subjects, but may occasionally be severe. Leukemia can be the only clinical manifestation of the syndrome."
363746,Balint syndrome,Disease,Disorder,"Balint syndrome is a rare neurologic disease characterized by the triad of optic ataxia, ocular apraxia and simultanagnosia due to posterior parietal lobe lesions. Patients report ophthalmologic difficulties in the absence of underlying ophthalomologic anomalies and present severe visual and spatial disabilities in locating and reaching objects, initiating voluntary eye movements and perceiving more than one object at a time."
363741,Colobomatous microphthalmia-obesity-hypogenitalism-intellectual disability syndrome,Disease,Disorder,"Colobomatous microphthalmia-obesity-hypogenitalism-intellectual disability syndrome is a rare, genetic, syndromic microphthalmia disorder characterized by bilateral, usually asymmetrical, microphthalmia associated typically with a unilateral coloboma, truncal obesity, borderline to mild intellectual disability, hypogenitalism and, more variably, nystagmus, cataracts and developmental delay."
363727,X-linked dyserythropoietic anemia with abnormal platelets and neutropenia,Disease,Disorder,"X-linked dyserythropoietic anemia with abnormal platelets and neutropenia is a rare, genetic, constitutional dyserythropoietic anemia disorder characterized by moderate to severe anemia without thrombocytopenia, variable degrees of neutropenia, and bone marrow biopsy findings of trilineage dysplasia and hypocellularity of erythroid and granulocytic lineages. Peripheral blood findings include anisocytosis, macrocytosis, poikilocytosis, elliptocytes, and fragmented erythrocytes."
363722,Alexander disease type II,Clinical subtype,Subtype of disorder,"An astrogliopathy and a form of Alexander disease (AxD) characterized by ataxia, bulbar symptoms, spastic paraparesis, palatal myoclonus, and autonomic symptoms."
363717,Alexander disease type I,Clinical subtype,Subtype of disorder,"An astrogliopathy and the most severe and common form of Alexander disease (AxD), presenting before the age of 4 and characterized by seizures, megalencephaly and developmental delay with progressive deterioration."
363710,Spinocerebellar ataxia type 37,Disease,Disorder,An autosomal dominant cerebellar ataxia type 1 that is characterized by a cerebellar syndrome along with altered vertical eye movements.
363705,Craniofaciofrontodigital syndrome,Disease,Disorder,"Craniofaciofrontodigital syndrome is a rare multiple congenital anomalies syndrome characterized by mild intellectual disability, short stature, cardiac anomalies, mild dysmorphic features (macrocephaly, prominent forehead, hypertelorism, exophthalmos), cutis laxa, joint hyperlaxity, wrinkled palms and soles and skeletal anomalies (sella turcica, wide ribs and small vertebral bodies)."
363700,Neurofibromatosis type 1 due to NF1 mutation or intragenic deletion,Etiological subtype,Subtype of disorder,"Craniofaciofrontodigital syndrome is a rare multiple congenital anomalies syndrome characterized by mild intellectual disability, short stature, cardiac anomalies, mild dysmorphic features (macrocephaly, prominent forehead, hypertelorism, exophthalmos), cutis laxa, joint hyperlaxity, wrinkled palms and soles and skeletal anomalies (sella turcica, wide ribs and small vertebral bodies)."
363694,Hyperuricemia-pulmonary hypertension-renal failure-alkalosis syndrome,Disease,Disorder,"Hyperuricemia-pulmonary hypertension-renal failure-alkalosis syndrome is a rare, genetic, mitochondrial disease characterized by early-onset progressive renal failure, manifesting with hyperuricemia, hyponatremia, hypomagnesemia, hypochloremic metabolic alkalosis, elevated BUN and polyuria, associated with systemic manifestations which include pulmonary hypertension, failure to thrive, global developmental delay, hypotonia and ventricular hypertrophy. Additional features include prematurity, elevated serum lactate, diabetes mellitus and, in some, pancytopenia."
363686,Severe intellectual disability-poor language-strabismus-grimacing face-long fingers syndrome,Disease,Disorder,"Severe intellectual disability-poor language-strabismus-grimacing face-long fingers syndrome is a rare, genetic, syndromic intellectual disability disorder characterized by global development delay with very limited or absent speech and language, severe intellectual disability, long slender fingers, ocular abnormalities (typically strabismus or hypermetropia), and facial dysmorphism that includes a grimacing facial expression, a tubular-shaped nose with a prominent, broad base and tip, and other variable features, such as broad forehead, hypertelorism, deep-set eyes, narrow palpebral fissures, short philtrum and/or broad mouth."
363680,2p13.2 microdeletion syndrome,Malformation syndrome,Disorder,"A rare partial autosomal monosomy characterized by global development delay, intellectual disability, behavioral abnormalities (hyperactivity, attention deficit and autistic behaviors), brachycephaly and variable facial dysmorphism. Other associated features may include vertebral fusions, mild contractures of knees and elbows, and feeding difficulties during infancy."
363677,Childhood-onset autosomal recessive myopathy with external ophthalmoplegia,Disease,Disorder,"A rare, genetic, non-dystrophic myopathy disease characterized by childhood-onset severe external ophthalmoplegia, typically without ptosis, associated with mild, very slowly progressive muscular weakness and atrophy, involving the facial, neck flexor and limb (upper > lower, proximal > distal) muscles. Muscle biopsy shows type 1 fiber uniformity, absent, or abnormally small, type 2A fibers, increased variability of fiber size, internalized nuclei and/or fatty infiltration."
364574,Acrofacial dysostosis,Clinical group,Group of disorders,"A rare, genetic, non-dystrophic myopathy disease characterized by childhood-onset severe external ophthalmoplegia, typically without ptosis, associated with mild, very slowly progressive muscular weakness and atrophy, involving the facial, neck flexor and limb (upper > lower, proximal > distal) muscles. Muscle biopsy shows type 1 fiber uniformity, absent, or abnormally small, type 2A fibers, increased variability of fiber size, internalized nuclei and/or fatty infiltration."
364577,Intellectual disability-brachydactyly-Pierre Robin syndrome,Malformation syndrome,Disorder,"Intellectual disability-brachydactyly-Pierre Robin syndrome is a rare developmental defect during embryogenesis syndrome characterized by mild to moderate intellectual disability and phsychomotor delay, Robin sequence (incl. severe micrognathia and soft palate cleft) and distinct dysmorphic facial features (e.g. synophris, short palpebral fissures, hypertelorism, small, low-set, and posteriorly angulated ears, bulbous nose, long/flat philtrum, and bow-shaped upper lip). Skeletal anomalies, such as brachydactyly, clinodactyly, small hands and feet, and oral manifestations (e.g. bifid, short tongue, oligodontia) are also associated. Additional features reported include microcephaly, capillary hemangiomas on face and scalp, ventricular septal defect, corneal clouding, nystagmus and profound sensorineural deafness."
364541,Otopalatodigital syndrome spectrum disorder,Clinical group,Group of disorders,"Otopalatodigital syndrome spectrum disorder is a primary bone dysplasia and encompasses a group of congenital anomalies that are characterized by skeletal dysplasia of varying clinical severity and an X linked dominant pattern of inheritance. This group includes otopalatodigital syndrome type 1 and 2 (OPD1, OPD2) which are characterized in affected males by cleft palate, conductive hearing loss, craniofacial abnormalities and skeletal dysplasia; Melnick-Needles syndrome (MNS) which displays skeletal deformities in females and embryonic or perinatal lethality in most males; frontometaphyseal dysplasia (FMD); and terminal osseous dysplasia - pigmentary defects."
364198,Bipartite talus,Morphological anomaly,Disorder,"A rare, genetic bone disorder characterized by the presence of two non-fused talar bone fragments, with the posterior fragment located at the level of the posterior talar process. Patients may present with foot and/or ankle pain (exercise-induced or not), repetitive ankle sprains, chronic ankle ligamentous laxity, restricted ankle motion (i.e. plantar flexion, eversion, and inversion), and mild swelling."
363417,Temtamy preaxial brachydactyly syndrome,Malformation syndrome,Disorder,"Temtamy preaxial brachydactyly syndrome is a rare, genetic dysostosis syndrome characterized by bilateral, symmetrical, preaxial brachydactyly associated with hyperphalangy, motor developmental delay and intellectual disability, growth retardation, sensorineural hearing loss, dental abnormalities (incuding misalignment of teeth, talon cusps, microdontia), and facial dysmorphism that includes plagiocephaly, round face, hypertelorism, malar hypoplasia, malformed ears, microstomia and micro/retrognathia."
363409,Fetal akinesia-cerebral and retinal hemorrhage syndrome,Disease,Disorder,"Fetal akinesia-cerebral and retinal hemorrhage syndrome is a rare, lethal, congenital myopathy syndrome characterized by decreased fetal movements and polyhydraminos in utero and the presence of akinesia, severe hypotonia with respiratory insufficiency, absent reflexes, joint contractures, skeletal abnormalities with thin ribs and bones, intracranial and retinal hemorrhages and decreased birth weight in the neonate."
363412,Hypomyelination with brain stem and spinal cord involvement and leg spasticity,Disease,Disorder,"Hypomyelination with brain stem and spinal cord involvement and leg spasticity is a rare, genetic, leukodystrophy disorder characterized by diffuse hypomyelination in the supratentorial brain white matter, brain stem and spinal cord. Patients usually present nystagmus, lower limb spasticity, hypotonia, and motor developmental delay, as well as MRI signal abnormalities involving the corpus callosum, anterior brainstem, pyramidal tracts, superior and inferior cerebellar peduncles, dorsal columns and/or lateral corticospinal tracts."
363429,Autosomal recessive cerebellar ataxia-pyramidal signs-nystagmus-oculomotor apraxia syndrome,Disease,Disorder,"A rare, genetic, slowly progressive neurodegenerative disease characterized by delayed psychomotor development beginning in infancy, mild to profound intellectual disability, gait and stance ataxia, pyramidal signs (hyperreflexia, extensor plantar responses), dysarthria, and ocular abnormalities (e.g. nystagmus, oculomotor apraxia, abduction deficits, esotropia, ptosis). Brain imaging reveals progressive, generalized cerebellar atrophy, mild ventriculomegaly and, in some, retrocerebellar cysts."
363432,Autosomal recessive congenital cerebellar ataxia due to GRID2 deficiency,Clinical subtype,Subtype of disorder,"A rare, genetic, slowly progressive neurodegenerative disease resulting from GRID2 deficiency characterized by motor, speech and cognitive delay, hypotonia, truncal and appendicular ataxia, and eye movement abnormalities (tonic upgaze, nystagmus, oculomotor apraxia). Intention tremor may also be associated. Brain imaging reveals progressive cerebellar atrophy with cerebellar flocculus particularly affected."
363424,Multiple mitochondrial dysfunctions syndrome type 3,Disease,Disorder,"A rare neurometabolic disease, due to a lipoic acid biosynthesis defect, with a highly variable phenotype, typically characterized by early-onset acute or subacute developmental delay or regression frequently associated with feeding difficulties. Clinical severity is variable and may range from mild cases which present a later onset with slow neurological deterioration and general improvement over time to severe cases with clinical signs since birth and leading to early death. Associated manifestations include hypotonia, vision loss, respiratory failure, seizures, and intellectual disability. Brain magnetic resonance imaging frequently shows cavitating leukoencephalopathy with lesions in the periventricular/central white matter and parieto-occiîtal lobes."
363396,High myopia-sensorineural deafness syndrome,Disease,Disorder,"High myopia-sensorineural deafness syndrome is a rare genetic disease characterized by high myopia, typically ranging from -6.0 to -11.0 diopters, and moderate to profound, bilateral, progressive sensorineural hearing loss with prelingual-onset. Affected individuals do not present other systemic, ocular or connective tissue manifestations."
363400,Severe neurodegenerative syndrome with lipodystrophy,Disease,Disorder,"Severe neurodegenerative syndrome with lipodystrophy is a rare, genetic, neurodegenerative disorder characterized by progressive psychomotor and cognitive regression (manifesting with gait ataxia, spasticity, loss of language, mild to severe intellectual disability, pyramidal and extrapyramidal signs and, frequently, development of tretraplegia or tetraparesis) associated with variable degrees of lipodystrophy, hepatomegaly, hypertriglyceridemia and muscular hypertrophy. Hyperactivity, tremor and development of seizures may also be associated."
363618,LMNA-related cardiocutaneous progeria syndrome,Disease,Disorder,"LMNA-related cardiocutaneous progeria syndrome is a rare, genetic, premature aging syndrome characterized by adulthood-onset cutaneous manifestations that result in a prematurely aged appearance (i.e. premature thinning and graying of scalp hair, loss of subcutaneous fat, tightening of skin) associated with prominent cardiovascular manifestations, such as accelerated atherosclerosis, calcific valve disease, and cardiomyopathy. Patients present loss of eyebrows and eyelashes in childhood and have a predisposition to develop malignancies."
